Sep	Start time	Start azimuth	End time	End azimuth
0	18.30	30.00	20.40	30.00
1	18.50	-150.00	20.60	-150.00
2	30.70	-150.00	36.40	-145.00
3	45.70	-55.00	51.40	-60.00
4	50.30	-65.00	52.40	-65.00
5	60.50	-10.00	66.00	-10.00
6	75.50	30.00	81.20	30.00
7	90.90	120.00	93.00	120.00
8	91.70	120.00	96.60	120.00
9	105.90	165.00	109.00	165.00
10	109.10	-30.00	111.40	-30.00
11	127.10	25.00	129.20	25.00
12	128.30	30.00	130.80	30.00
13	136.10	-120.00	138.20	-120.00
14	137.50	-165.00	139.60	-165.00
