Sep	Start time	Start azimuth	End time	End azimuth
0	5.10	30.00	10.00	30.00
1	7.50	-150.00	9.60	-150.00
2	14.90	30.00	20.40	30.00
3	20.10	-145.00	22.20	-145.00
4	20.50	35.00	23.20	45.00
5	21.30	-40.00	23.80	-45.00
6	21.90	65.00	28.40	125.00
7	22.30	-70.00	24.40	-70.00
8	23.30	-90.00	25.40	-90.00
9	30.10	125.00	35.20	125.00
10	34.30	120.00	39.40	160.00
11	44.90	165.00	49.00	165.00
12	45.10	-45.00	49.80	-45.00
13	47.90	165.00	50.40	160.00
14	49.10	-45.00	51.20	-45.00
15	49.90	165.00	52.00	165.00
16	50.50	-75.00	53.40	-85.00
17	50.90	180.00	55.40	-145.00
18	56.90	70.00	59.00	70.00
19	59.90	-150.00	62.00	-150.00
20	60.10	30.00	64.40	30.00
21	60.70	-150.00	63.40	-150.00
22	62.10	-150.00	65.20	-150.00
23	63.30	30.00	65.40	30.00
24	64.70	-140.00	71.20	-60.00
25	65.30	140.00	67.40	140.00
26	67.70	65.00	69.80	65.00
27	70.10	70.00	72.20	70.00
28	74.50	-55.00	80.00	-55.00
