Sep	Start time	Start azimuth	End time	End azimuth
0	5.50	35.00	9.20	35.00
1	7.30	-155.00	9.60	-155.00
2	14.90	-155.00	20.40	-155.00
3	15.70	35.00	18.40	35.00
4	17.50	35.00	20.20	35.00
5	20.30	40.00	32.40	115.00
6	22.50	160.00	24.60	160.00
7	33.30	125.00	38.80	125.00
8	38.70	120.00	43.00	150.00
9	48.30	-60.00	53.20	-60.00
10	49.30	80.00	52.00	80.00
11	51.30	80.00	53.80	65.00
12	51.50	175.00	53.60	175.00
13	63.50	30.00	68.20	30.00
14	66.70	-150.00	68.80	-150.00
15	76.50	-65.00	78.60	-65.00
16	78.50	-65.00	81.80	-65.00
17	79.30	-165.00	81.40	-165.00
18	80.10	-165.00	82.40	-165.00
19	80.50	-65.00	83.80	-65.00
20	81.10	-165.00	83.20	-165.00
