Sep	Start time	Start azimuth	End time	End azimuth
0	-0.10	30.00	2.40	30.00
1	1.10	30.00	3.20	30.00
2	5.30	25.00	10.00	30.00
3	8.10	-150.00	10.40	-150.00
4	15.70	30.00	21.40	25.00
5	20.30	25.00	26.00	115.00
6	23.70	20.00	26.20	20.00
7	24.50	-135.00	26.60	-135.00
8	28.70	120.00	34.40	120.00
9	33.30	15.00	35.40	15.00
10	33.50	120.00	38.40	165.00
11	35.90	-45.00	38.00	-45.00
12	43.30	160.00	50.60	165.00
13	47.90	85.00	50.20	80.00
14	48.90	-170.00	52.20	-155.00
15	49.50	35.00	51.60	35.00
16	58.30	-150.00	64.00	-150.00
17	63.10	-160.00	65.20	-160.00
18	63.50	-135.00	65.60	-135.00
19	63.70	145.00	65.80	145.00
20	63.90	-115.00	66.80	-90.00
21	65.30	65.00	68.00	50.00
22	65.50	-75.00	67.60	-75.00
23	66.10	-160.00	68.60	-160.00
24	66.70	50.00	68.80	50.00
25	70.70	170.00	72.80	170.00
26	73.30	-60.00	79.00	-60.00
