Sep	Start time	Start azimuth	End time	End azimuth
0	5.30	30.00	10.20	30.00
1	7.90	-150.00	10.40	-150.00
2	15.50	30.00	22.60	30.00
3	21.90	35.00	24.20	35.00
4	22.30	-160.00	24.40	-160.00
5	22.70	-35.00	25.60	-45.00
6	22.90	50.00	25.00	50.00
7	23.70	60.00	31.60	125.00
8	37.90	125.00	44.80	125.00
9	43.70	125.00	49.60	165.00
10	52.70	165.00	59.80	165.00
11	59.30	170.00	62.60	-175.00
12	60.90	-85.00	63.00	-85.00
13	61.30	-155.00	63.40	-155.00
14	62.70	-150.00	64.80	-150.00
15	67.90	-145.00	75.00	-145.00
16	74.70	-140.00	76.80	-140.00
17	75.90	-120.00	78.20	-110.00
18	76.50	105.00	79.20	95.00
19	76.90	-100.00	79.40	-85.00
20	78.10	-70.00	81.60	-60.00
21	84.50	-60.00	91.60	-60.00
