Sep	Start time	Start azimuth	End time	End azimuth
0	4.90	30.00	9.60	30.00
1	14.50	30.00	21.60	30.00
2	20.70	25.00	29.60	125.00
3	22.30	-50.00	24.80	-45.00
4	31.10	125.00	38.20	125.00
5	37.10	120.00	43.20	165.00
6	37.30	-130.00	39.40	-130.00
7	46.10	165.00	53.80	165.00
8	52.50	170.00	54.80	160.00
9	53.10	-75.00	55.80	-80.00
10	53.30	-175.00	56.60	-155.00
11	55.30	-145.00	57.60	-145.00
12	61.10	-145.00	68.20	-145.00
13	67.90	-135.00	71.40	-110.00
14	70.30	-80.00	72.40	-80.00
15	71.30	-70.00	73.80	-65.00
16	76.10	-60.00	83.20	-60.00
