Sep	Start time	Start azimuth	End time	End azimuth
0	-0.30	30.00	2.00	30.00
1	4.50	-150.00	6.60	-150.00
2	4.90	30.00	9.40	25.00
3	7.50	-150.00	9.60	-150.00
4	14.70	30.00	21.80	30.00
5	21.30	40.00	23.60	40.00
6	21.70	-50.00	24.00	-65.00
7	22.70	90.00	24.80	90.00
8	23.30	25.00	26.00	15.00
9	23.50	105.00	26.80	120.00
10	26.90	-130.00	29.20	-130.00
11	29.70	120.00	36.80	120.00
12	35.70	-125.00	37.80	-125.00
13	35.90	120.00	40.20	160.00
14	37.70	-40.00	40.00	-40.00
15	44.70	165.00	51.80	165.00
16	51.70	-60.00	53.80	-60.00
17	51.90	170.00	54.00	170.00
18	59.70	-150.00	66.80	-150.00
19	65.90	35.00	68.00	35.00
20	66.30	-150.00	69.00	-130.00
21	66.50	140.00	68.60	140.00
22	67.10	-25.00	69.20	-25.00
23	67.30	-110.00	69.40	-110.00
24	67.90	-85.00	70.80	-75.00
25	69.10	-165.00	72.00	-165.00
26	69.70	50.00	71.80	50.00
27	74.70	-60.00	81.80	-60.00
