Sep	Start time	Start azimuth	End time	End azimuth
0	3.30	25.00	9.60	25.00
1	14.30	25.00	21.40	25.00
2	20.90	40.00	23.00	40.00
3	21.30	165.00	23.40	165.00
4	21.50	75.00	26.40	125.00
5	21.90	-85.00	24.00	-85.00
6	23.30	20.00	25.40	20.00
7	23.90	-135.00	26.20	-135.00
8	29.30	120.00	36.40	120.00
9	35.10	120.00	40.00	170.00
10	35.30	15.00	37.40	15.00
11	44.30	165.00	51.40	165.00
12	50.30	160.00	52.60	160.00
13	51.10	-175.00	54.20	-165.00
14	52.50	35.00	55.40	20.00
15	53.50	-145.00	55.80	-145.00
16	59.30	-150.00	66.40	-150.00
17	65.10	-145.00	68.20	-135.00
18	66.30	-115.00	69.80	-75.00
19	68.10	-155.00	70.20	-155.00
20	68.30	55.00	70.40	55.00
21	68.70	35.00	71.40	50.00
22	69.10	-175.00	71.20	-175.00
23	74.30	-60.00	81.40	-60.00
