Sep	Start time	Start azimuth	End time	End azimuth
0	3.70	30.00	9.00	30.00
1	6.50	-150.00	8.60	-150.00
2	10.30	30.00	12.40	30.00
3	14.10	30.00	19.60	30.00
4	18.70	25.00	21.00	25.00
5	19.10	-160.00	21.20	-160.00
6	19.30	50.00	22.00	55.00
7	20.10	75.00	23.20	100.00
8	21.30	-110.00	24.00	-140.00
9	22.10	115.00	24.60	110.00
10	22.70	-115.00	24.80	-115.00
11	27.10	115.00	36.00	155.00
12	31.50	-145.00	33.60	-145.00
13	34.50	25.00	36.60	25.00
14	35.10	-45.00	37.20	-45.00
15	42.10	160.00	47.60	160.00
16	46.30	155.00	49.00	165.00
17	47.30	-170.00	51.40	-160.00
18	49.50	-140.00	51.60	-140.00
19	52.30	135.00	54.40	135.00
20	53.90	-35.00	56.00	-35.00
21	57.10	-150.00	62.60	-155.00
22	61.70	-155.00	64.80	-120.00
23	62.10	15.00	64.20	15.00
24	63.30	-90.00	67.60	-55.00
25	72.10	-60.00	77.60	-60.00
