Sep	Start time	Start azimuth	End time	End azimuth
0	-0.30	20.00	2.80	30.00
1	3.70	35.00	7.20	30.00
2	6.50	-150.00	8.80	-150.00
3	6.90	30.00	9.20	30.00
4	8.90	-45.00	11.60	-45.00
5	11.70	-50.00	14.00	-50.00
6	12.70	-45.00	14.80	-45.00
7	14.10	30.00	19.80	30.00
8	18.70	-145.00	21.00	-140.00
9	19.50	165.00	21.80	160.00
10	20.30	-80.00	22.40	-80.00
11	21.50	105.00	23.60	105.00
12	22.10	-135.00	24.60	-120.00
13	27.30	115.00	32.40	115.00
14	29.70	20.00	31.80	20.00
15	31.50	110.00	33.60	110.00
16	31.70	10.00	33.80	10.00
17	32.30	140.00	34.80	145.00
18	33.10	-105.00	35.20	-105.00
19	33.30	165.00	35.60	150.00
20	33.90	-5.00	36.60	-5.00
21	41.90	160.00	47.40	155.00
22	46.30	-35.00	48.40	-35.00
23	46.50	155.00	48.60	155.00
24	46.90	-60.00	49.00	-60.00
25	47.10	-175.00	50.40	-140.00
26	56.90	-155.00	62.00	-155.00
27	60.90	-160.00	63.20	-160.00
28	61.30	-135.00	64.00	-125.00
29	62.10	-105.00	70.80	-50.00
30	64.70	-175.00	66.80	-175.00
31	71.50	-60.00	77.20	-50.00
32	76.10	-60.00	77.60	-60.00
