Sep	Start time	Start azimuth	End time	End azimuth
0	4.30	30.00	10.00	30.00
1	6.70	-150.00	9.60	-145.00
2	14.90	30.00	22.00	30.00
3	21.10	-145.00	23.20	-145.00
4	21.50	-165.00	24.20	-165.00
5	21.70	165.00	23.80	165.00
6	21.90	55.00	24.00	55.00
7	22.50	90.00	25.00	85.00
8	23.30	105.00	25.60	105.00
9	24.10	-140.00	26.20	-140.00
10	24.30	20.00	26.60	20.00
11	27.30	-70.00	29.40	-70.00
12	29.90	115.00	37.00	115.00
13	36.10	-120.00	38.20	-120.00
14	36.70	145.00	40.20	155.00
15	44.30	70.00	46.40	70.00
16	44.70	160.00	51.80	160.00
17	50.90	-35.00	53.00	-35.00
18	51.90	-170.00	54.00	-170.00
19	52.10	30.00	54.40	30.00
20	59.90	-150.00	66.60	-150.00
21	66.30	-115.00	68.40	-115.00
22	67.10	-85.00	70.40	-70.00
23	67.50	90.00	69.60	90.00
24	68.70	35.00	70.80	35.00
25	68.90	-170.00	71.00	-170.00
26	71.30	70.00	73.40	70.00
27	74.50	-60.00	81.60	-60.00
