Sep	Start time	Start azimuth	End time	End azimuth
0	-0.10	-45.00	2.00	-45.00
1	4.10	30.00	10.60	40.00
2	7.10	-150.00	9.40	-150.00
3	14.50	30.00	21.60	30.00
4	20.50	25.00	25.20	105.00
5	21.30	165.00	23.40	165.00
6	23.50	5.00	26.00	25.00
7	23.70	-140.00	25.80	-140.00
8	24.10	120.00	26.40	120.00
9	27.30	125.00	29.40	125.00
10	29.50	120.00	36.60	115.00
11	35.50	110.00	40.00	160.00
12	38.30	-25.00	40.40	-25.00
13	38.70	170.00	41.00	175.00
14	39.50	-25.00	42.00	-25.00
15	42.30	-25.00	44.60	-25.00
16	44.50	165.00	51.60	165.00
17	50.30	-60.00	52.40	-60.00
18	50.50	165.00	55.00	-145.00
19	59.50	-150.00	66.60	-150.00
20	65.30	-25.00	67.60	-25.00
21	65.70	-160.00	67.80	-160.00
22	66.70	-120.00	69.00	-130.00
23	67.50	-90.00	70.60	-75.00
24	69.10	-175.00	71.40	-175.00
25	74.50	-60.00	79.20	-60.00
26	77.30	-175.00	80.40	-175.00
27	77.90	55.00	80.00	55.00
28	78.10	-60.00	81.60	-60.00
