Sep	Start time	Start azimuth	End time	End azimuth
0	-0.30	25.00	3.00	25.00
1	0.30	-150.00	2.40	-150.00
2	3.70	25.00	8.60	30.00
3	7.30	25.00	9.60	25.00
4	14.30	30.00	20.00	30.00
5	18.70	25.00	21.80	50.00
6	19.50	-35.00	21.60	-35.00
7	19.90	70.00	22.60	85.00
8	20.70	105.00	23.40	110.00
9	21.50	15.00	24.20	15.00
10	22.30	115.00	25.00	120.00
11	22.50	-135.00	24.80	-135.00
12	27.50	120.00	33.00	120.00
13	31.50	15.00	34.00	15.00
14	32.30	135.00	35.40	150.00
15	33.70	-40.00	35.80	-40.00
16	34.50	-50.00	36.60	-50.00
17	42.50	165.00	48.00	160.00
18	46.90	160.00	49.00	160.00
19	47.30	65.00	49.40	65.00
20	47.50	-80.00	49.60	-80.00
21	57.50	-150.00	63.00	-150.00
22	61.50	30.00	63.60	30.00
23	62.30	-140.00	64.60	-150.00
24	63.10	-25.00	65.60	-30.00
25	63.70	-95.00	66.60	-75.00
26	64.70	-155.00	68.00	-170.00
27	65.10	60.00	67.80	50.00
28	72.50	-60.00	78.00	-60.00
