Sep	Start time	Start azimuth	End time	End azimuth
0	7.70	30.00	11.00	30.00
1	15.90	30.00	23.00	30.00
2	23.30	105.00	25.60	110.00
3	30.90	120.00	38.00	120.00
4	45.90	165.00	48.00	165.00
5	48.90	165.00	51.00	165.00
6	61.30	-150.00	67.60	-150.00
