Sep	Start time	Start azimuth	End time	End azimuth
0	-0.10	70.00	2.20	70.00
1	1.10	75.00	4.20	70.00
2	3.30	70.00	6.00	70.00
3	4.90	35.00	9.60	30.00
4	7.30	-150.00	9.40	-150.00
5	11.90	70.00	15.60	70.00
6	14.70	30.00	20.20	30.00
7	18.90	-145.00	21.00	-145.00
8	19.30	70.00	21.40	70.00
9	19.50	40.00	21.80	40.00
10	20.10	-35.00	22.80	-45.00
11	20.50	50.00	26.00	115.00
12	22.30	-95.00	24.40	-95.00
13	23.70	15.00	25.80	15.00
14	24.30	-130.00	26.60	-130.00
15	25.10	125.00	27.20	125.00
16	27.70	125.00	34.00	120.00
17	32.30	-130.00	34.80	-145.00
18	32.90	130.00	37.00	160.00
19	35.10	-30.00	37.20	-30.00
20	42.70	165.00	44.80	165.00
21	42.90	-45.00	47.40	-45.00
22	43.50	165.00	46.40	160.00
23	45.50	165.00	48.40	160.00
24	47.70	165.00	49.80	165.00
25	48.50	-155.00	51.80	-150.00
26	50.10	30.00	52.20	30.00
27	56.10	-150.00	61.80	-150.00
28	56.30	30.00	58.40	30.00
29	58.10	30.00	60.20	30.00
30	60.90	-145.00	69.00	-60.00
31	71.10	-55.00	76.80	-55.00
