Frequency (Hz)	Level (dB)
3718.750000	-46.463055
3734.375000	-46.850697
3750.000000	-46.687790
3765.625000	-46.325489
3781.250000	-45.334618
3796.875000	-46.117680
3812.500000	-45.740181
3828.125000	-45.628216
3843.750000	-46.705036
3859.375000	-45.397377
3875.000000	-45.943718
3890.625000	-45.417339
3906.250000	-40.920475
3921.875000	-40.460850
3937.500000	-42.475765
3953.125000	-45.587181
3968.750000	-47.445938
3984.375000	-46.850193
4000.000000	-44.798378
4015.625000	-43.497536
4031.250000	-44.078129
4046.875000	-43.867340
4062.500000	-41.917114
4078.125000	-46.358509
4093.750000	-48.242283
4109.375000	-47.481030
4125.000000	-46.065495
4140.625000	-45.495258
4156.250000	-43.493195
4171.875000	-42.438522
4187.500000	-43.687260
4203.125000	-47.506218
4218.750000	-49.102577
4234.375000	-47.261189
4250.000000	-44.757393
4265.625000	-44.092979
4281.250000	-44.421730
4296.875000	-44.641369
4312.500000	-44.545795
4328.125000	-46.421730
4343.750000	-45.954639
4359.375000	-51.815605
4375.000000	-47.274067
4390.625000	-43.259296
4406.250000	-40.910286
4421.875000	-41.777386
4437.500000	-46.140282
4453.125000	-52.342171
4468.750000	-46.256325
4484.375000	-44.110760
4500.000000	-43.905121
4515.625000	-44.931431
4531.250000	-42.709957
4546.875000	-41.357330
4562.500000	-42.738472
4578.125000	-46.543190
4593.750000	-49.595982
4609.375000	-48.172424
4625.000000	-42.436672
4640.625000	-38.706383
4656.250000	-39.894871
4671.875000	-45.702763
4687.500000	-49.549347
4703.125000	-44.717999
4718.750000	-46.360077
4734.375000	-47.790684
4750.000000	-46.889866
4765.625000	-52.304871
4781.250000	-43.399731
4796.875000	-41.450142
4812.500000	-43.018250
4828.125000	-46.383472
4843.750000	-41.926907
4859.375000	-40.607624
4875.000000	-41.914436
4890.625000	-44.450901
4906.250000	-47.784592
4921.875000	-47.572697
4937.500000	-44.683937
4953.125000	-45.659618
4968.750000	-50.777287
4984.375000	-55.341087
5000.000000	-46.692886
5015.625000	-45.342972
5031.250000	-46.651882
5046.875000	-48.126091
5062.500000	-49.657429
5078.125000	-46.799332
5093.750000	-45.285873
5109.375000	-44.801296
5125.000000	-44.208420
5140.625000	-48.871529
5156.250000	-49.966587
5171.875000	-46.968296
5187.500000	-44.303539
5203.125000	-46.735775
5218.750000	-54.941673
5234.375000	-44.268234
5250.000000	-44.765133
5265.625000	-43.869568
5281.250000	-44.401897
5296.875000	-46.896049
5312.500000	-44.345356
5328.125000	-40.484306
5343.750000	-40.074684
5359.375000	-40.636650
5375.000000	-43.383251
5390.625000	-44.894176
5406.250000	-49.692429
5421.875000	-50.649639
5437.500000	-45.347828
5453.125000	-44.571583
5468.750000	-44.833309
5484.375000	-42.716461
5500.000000	-43.280415
5515.625000	-44.080284
5531.250000	-48.343182
5546.875000	-45.319969
5562.500000	-39.083275
5578.125000	-38.566288
5593.750000	-43.635185
5609.375000	-48.822956
5625.000000	-46.369915
5640.625000	-48.028431
5656.250000	-46.093357
5671.875000	-46.027653
5687.500000	-53.051613
5703.125000	-47.068710
5718.750000	-42.929771
5734.375000	-43.929966
5750.000000	-49.003857
5765.625000	-51.508411
5781.250000	-44.737061
5796.875000	-42.458508
5812.500000	-45.534290
5828.125000	-47.292515
5843.750000	-48.805935
5859.375000	-48.894249
5875.000000	-47.046963
5890.625000	-45.358238
5906.250000	-48.554638
5921.875000	-51.726055
5937.500000	-46.405869
5953.125000	-47.096844
5968.750000	-51.989971
5984.375000	-55.681114
6000.000000	-50.616955
6015.625000	-46.859039
6031.250000	-45.333542
6046.875000	-44.884720
6062.500000	-46.344269
6078.125000	-48.231113
6093.750000	-48.214985
6109.375000	-48.600723
6125.000000	-50.783615
