iid	sid	time	duration	azimuth	species
0	0	-0.3	2.3	-145.00047003288702	1
1	1	0.09999999999999998	2.3	-124.99952996711295	2
2	2	0.7	2.1	-145.00047003288702	1
3	3	13.7	4.100000000000001	-149.99927221917267	1
4	4	27.7	5.100000000000001	-149.99927221917267	1
5	5	35.9	2.1000000000000014	-65.00075974259934	5
6	6	42.5	5.100000000000001	-59.999272219172624	6
7	7	48.7	2.0999999999999943	-30.000727780827372	7
8	8	57.7	5.099999999999994	-14.999328942043046	8
9	9	72.5	5.099999999999994	30.000727780827372	10
10	10	87.3	5.1000000000000085	120.00072778082736	15
11	11	102.7	3.0999999999999943	165.00067105795696	17
12	12	105.1	2.1000000000000085	149.99927221917267	16
13	13	105.3	2.9000000000000057	-30.000727780827372	7
14	14	105.9	2.0999999999999943	-45.0	6
15	15	123.7	2.5	30.000727780827372	10
16	16	125.1	2.1000000000000085	-149.99927221917267	1
17	17	125.3	2.1000000000000085	30.000727780827372	10
18	18	129.9	2.0999999999999943	0.0	9
19	19	130.3	2.299999999999983	-24.99924025740066	7
20	20	131.1	2.0999999999999943	-95.00249960571072	4
21	21	131.5	2.5	-139.99781932208072	2
22	22	133.7	1.9000000000000057	179.99999999999997	18
23	23	134.1	1.5	-135.00000000000003	2
