Recorder,date,numFiles,TotFileSizeMB
03_v2_Blue,logs,198,0
rec02_yellow,2021-04-29,18,917
rec02_yellow,2021-04-30,135,6468
rec02_yellow,2021-05-01,143,7098
rec02_yellow,2021-05-02,11,528
rec02_yellow,2021-05-03,132,6968
rec02_yellow,2021-05-04,11,585
rec02_yellow,2021-05-05,132,6593
rec02_yellow,2021-05-06,143,6987
rec02_yellow,2021-05-07,143,7163
rec02_yellow,2021-05-08,143,7506
rec02_yellow,2021-05-09,143,7381
rec02_yellow,2021-05-10,120,5972
rec02_yellow,2021-05-11,143,6995
rec02_yellow,2021-05-12,46,2386
rec02_yellow,2021-05-13,8,385
rec02_yellow,2021-05-14,15,726
rec02_yellow,2021-05-15,13,679
rec02_yellow,2021-05-16,16,813
rec02_yellow,2021-05-17,20,966
rec02_yellow,2021-05-18,36,1809
rec02_yellow,2021-05-19,30,1472
rec02_yellow,2021-05-20,30,1455
rec02_yellow,2021-05-21,28,1395
rec02_yellow,2021-05-22,20,887
rec02_yellow,2021-05-23,21,1016
rec02_yellow,2021-05-24,8,412
rec02_yellow,2021-05-25,22,1114
rec02_yellow,2021-05-26,31,1526
rec02_yellow,2021-05-27,38,1851
rec02_yellow,2021-05-28,44,2185
rec02_yellow,2021-05-29,18,897
rec02_yellow,2021-05-30,0,NA
rec02_yellow,2021-05-31,29,1397
rec02_yellow,2021-06-01,43,2106
rec02_yellow,2021-06-02,7,364
rec02_yellow,2021-06-03,0,NA
rec02_yellow,2021-06-04,5,282
rec02_yellow,2021-06-05,19,928
rec02_yellow,2021-06-06,20,986
rec02_yellow,2021-06-07,16,780
rec02_yellow,2021-06-08,4,196
rec02_yellow,2021-06-09,27,1344
rec02_yellow,2021-06-10,9,450
rec02_yellow,2021-06-11,16,755
rec02_yellow,2021-06-12,8,398
rec02_yellow,2021-06-13,25,1259
rec02_yellow,2021-06-14,10,520
rec02_yellow,2021-06-15,0,NA
rec02_yellow,2021-06-16,0,NA
rec02_yellow,2021-06-17,9,453
rec02_yellow,2021-06-19,5,251
rec02_yellow,2021-06-20,11,511
rec02_yellow,2021-06-21,7,365
rec02_yellow,2021-06-22,26,1223
rec02_yellow,2021-06-23,0,NA
rec02_yellow,2021-06-24,45,2207
rec02_yellow,2021-06-25,25,1233
rec02_yellow,2021-06-30,34,1621
rec02_yellow,2021-07-01,143,6790
rec02_yellow,2021-07-02,143,6952
rec02_yellow,2021-07-03,143,7052
rec02_yellow,2021-07-04,143,7006
rec02_yellow,2021-07-05,143,7076
rec02_yellow,2021-07-06,143,7304
rec02_yellow,2021-07-07,143,7084
rec02_yellow,2021-07-08,143,6900
rec02_yellow,2021-07-09,143,6848
rec02_yellow,2021-07-10,143,6791
rec02_yellow,2021-07-11,143,6788
rec02_yellow,2021-07-12,143,6865
rec02_yellow,2021-07-13,11,487
rec02_yellow,2021-07-14,132,6310
rec02_yellow,2021-07-15,143,6785
rec02_yellow,2021-07-16,143,6767
rec02_yellow,2021-07-17,143,6736
rec02_yellow,2021-07-18,143,6792
rec02_yellow,2021-07-19,11,503
rec02_yellow,2021-07-20,132,6506
rec02_yellow,2021-07-21,143,6777
rec02_yellow,2021-07-22,143,6741
rec02_yellow,2021-07-23,143,7078
rec02_yellow,2021-07-24,11,548
rec02_yellow,2021-07-25,132,6132
rec02_yellow,2021-07-26,143,6684
rec02_yellow,2021-07-27,143,6934
rec02_yellow,2021-07-28,143,7213
rec02_yellow,2021-07-29,143,7104
rec02_yellow,2021-07-30,143,7311
rec02_yellow,2021-07-31,143,6661
rec02_yellow,2021-08-01,143,6659
rec02_yellow,2021-08-02,143,6641
rec02_yellow,2021-08-03,143,6846
rec02_yellow,2021-08-04,143,6780
rec02_yellow,2021-08-05,11,495
rec02_yellow,2021-08-06,132,6570
rec02_yellow,2021-08-07,143,7242
rec02_yellow,2021-08-08,143,7087
rec02_yellow,2021-08-09,143,7175
rec02_yellow,2021-08-10,143,6758
rec02_yellow,2021-08-11,143,6844
rec02_yellow,2021-08-12,143,6791
rec02_yellow,2021-08-13,143,6855
rec02_yellow,2021-08-14,143,6810
rec02_yellow,2021-08-15,143,6828
rec02_yellow,2021-08-16,143,6767
rec02_yellow,2021-08-17,143,6634
rec02_yellow,2021-08-18,143,6894
rec02_yellow,2021-08-19,143,6750
rec02_yellow,2021-08-21,143,6780
rec02_yellow,2021-08-22,143,6620
rec02_yellow,2021-08-23,144,6554
rec02_yellow,2021-08-24,131,6496
rec02_yellow,2021-08-25,120,6223
rec02_yellow,2021-08-26,23,1277
rec02_yellow,2021-08-27,58,2902
rec02_yellow,2021-08-28,41,2092
rec02_yellow,2021-08-29,47,2398
rec02_yellow,2021-08-30,10,462
rec02_yellow,2021-08-31,31,1604
rec02_yellow,2021-09-01,27,1388
rec02_yellow,2021-09-02,31,1497
rec02_yellow,2021-09-03,59,2987
rec02_yellow,2021-09-04,15,672
rec02_yellow,2021-09-05,85,4261
rec02_yellow,2021-09-06,101,4947
rec02_yellow,2021-09-07,88,4484
rec02_yellow,2021-09-08,114,5922
rec02_yellow,2021-09-09,103,5210
rec02_yellow,2021-09-10,27,1380
rec02_yellow,2021-09-11,51,2594
rec02_yellow,2021-09-12,67,3348
rec02_yellow,2021-09-13,82,4226
rec02_yellow,2021-09-14,5,253
rec02_yellow,2021-09-15,40,1980
rec02_yellow,2021-09-16,88,4294
rec02_yellow,2021-09-17,105,5081
rec02_yellow,2021-09-18,87,4190
rec02_yellow,2021-09-19,46,2202
rec02_yellow,2021-09-20,7,347
rec02_yellow,2021-09-21,90,4453
rec02_yellow,2021-09-22,111,5455
rec02_yellow,2021-09-23,126,6121
rec02_yellow,2021-09-24,88,4346
rec02_yellow,2021-09-25,32,1491
rec02_yellow,2021-09-26,22,1092
rec02_yellow,2021-09-27,84,4262
rec02_yellow,2021-09-28,24,1204
rec02_yellow,2021-09-29,81,4005
rec02_yellow,2021-09-30,24,1236
rec02_yellow,2021-10-01,24,1150
rec02_yellow,2021-10-02,4,224
rec02_yellow,2021-10-03,43,2201
rec02_yellow,2021-10-04,70,3482
rec02_yellow,2021-10-05,29,1495
rec02_yellow,2021-10-06,73,3625
rec02_yellow,2021-10-07,5,245
rec02_yellow,2021-10-08,14,687
rec02_yellow,2021-10-09,47,2298
rec02_yellow,2021-10-10,10,491
rec02_yellow,2021-10-11,48,2218
rec02_yellow,2021-10-12,26,1260
rec02_yellow,2021-10-13,41,1962
rec02_yellow,2021-10-14,41,1981
rec02_yellow,2021-10-15,19,931
rec02_yellow,2021-10-16,9,443
rec02_yellow,2021-10-17,15,738
rec02_yellow,2021-10-18,15,741
rec02_yellow,2021-10-19,32,1670
rec02_yellow,2021-10-20,29,1537
rec02_yellow,2021-10-21,32,1546
rec02_yellow,2021-10-22,21,1013
rec02_yellow,2021-10-23,12,588
rec02_yellow,2021-10-24,26,1279
rec02_yellow,2021-10-25,18,892
rec02_yellow,2021-10-26,27,1364
rec02_yellow,2021-10-27,22,1081
rec02_yellow,2021-10-28,30,1404
rec02_yellow,2021-10-29,14,729
rec02_yellow,2021-10-30,16,795
rec02_yellow,2021-10-31,12,583
rec02_yellow,2021-11-01,17,821
rec02_yellow,2021-11-02,18,879
rec02_yellow,2021-11-03,18,895
rec02_yellow,2021-11-05,18,793
rec02_yellow,2021-11-06,14,717
rec02_yellow,2021-11-07,21,1000
rec02_yellow,2021-11-08,11,540
rec02_yellow,2021-11-09,7,300
rec02_yellow,2021-11-10,6,297
rec02_yellow,2021-11-11,17,838
rec02_yellow,2021-11-12,10,513
rec02_yellow,2021-11-14,9,446
rec02_yellow,2021-11-16,7,344
rec02_yellow,2021-11-17,12,594
rec02_yellow,2021-11-18,8,399
rec02_yellow,2021-11-21,10,447
rec02_yellow,2021-11-22,7,335
rec02_yellow,2021-11-23,12,598
rec02_yellow,2021-11-24,4,198
rec02_yellow,2021-11-25,7,352
rec02_yellow,2021-11-26,7,322
rec02_yellow,2021-11-28,8,350
rec02_yellow,2021-11-29,10,501
rec02_yellow,2021-12-01,5,263
rec02_yellow,2021-12-02,5,250
rec02_yellow,2021-12-04,6,312
rec02_yellow,2021-12-08,6,320
rec02_yellow,2021-12-09,10,500
rec02_yellow,2021-12-10,6,320
rec02_yellow,2021-12-11,5,250
rec02_yellow,2021-12-12,6,304
rec02_yellow,2021-12-14,6,300
rec02_yellow,2021-12-20,5,250
rec02_yellow,2021-12-22,9,452
rec02_yellow,2021-12-24,5,250
rec02_yellow,2021-12-28,4,179
rec02_yellow,2021-12-31,9,457
rec02_yellow,2022-01-01,12,602
rec02_yellow,2022-01-02,6,307
rec02_yellow,2022-01-04,4,201
rec02_yellow,2022-01-05,20,953
rec02_yellow,2022-01-09,24,1147
rec02_yellow,2022-01-14,4,199
rec02_yellow,2022-01-16,23,1150
rec02_yellow,2022-01-18,16,778
rec02_yellow,2022-01-20,8,354
rec02_yellow,2022-01-21,41,2044
rec02_yellow,2022-02-09,51,2523
rec02_yellow,2022-02-10,142,7002
rec02_yellow,2022-02-11,122,6143
rec02_yellow,2022-03-10,23,1170
rec02_yellow,2022-03-11,32,1659
rec02_yellow,2022-03-12,54,2789
rec02_yellow,2022-03-13,30,1543
rec02_yellow,2022-03-14,60,2996
rec02_yellow,2022-03-15,52,2620
rec02_yellow,2022-03-16,10,510
rec02_yellow,2022-03-17,53,2590
rec02_yellow,2022-03-18,45,2154
rec02_yellow,2022-03-19,50,2553
rec02_yellow,2022-03-20,59,2923
rec02_yellow,2022-03-21,63,3165
