VARIANCE:,yellow,,,,,,,blue ,,,,,,,green ,,,,,,,yellowgreen ,,,,,
late,11.5336,6.67418,3.14466,3.547,4.03086,1.80856,,0.70262,0.41487,0.53993,0.88903,1.5813,1.4418,,1.59363,20.0096,5.20145,25.0171,5.55234,8.55757,,20.8501,22.9839,0.299549,0.307311,0.295748,0.274346
late,1.9385,2.4296,2.0111,1.8568,1.544,1.1765,,0.2918,0.29657,0.00063001,0.00064597,0.26974,0.33595,,4.314,7.071,3.8354,3.1808,1.9854,1.8438,,5.7116,4.3814,0.2661,0.28874,0.29398,0.25301
late,154.0974,98.7076,67.3111,95.31898,276.1133,62.19926,,0.7695,0.56284,0.00061976,0.00064567,0.62105,1.5037,,4.12117,17.6087,3.10844,6.20244,2.68039,1.87269,,14.0078,11.2238,0.304909,0.334879,0.336666,0.26646
late,39.2342,18.3462,7.95879,11.4572,2.93952,4.01982,,0.00061669,0.00063704,0.38477,0.88109,0.92843,1.1523,,3.45626,31.7973,2.72885,6.27749,2.61097,2.59962,,1.8886,1.3045,0.26183,0.2727,0.27221,0.2592
late,0.00081114,0.00069494,1.7479,2.6028,2.1108,3.9437,,0.89619,0.7349,0.61765,0.4737,0.00062858,0.00064673,,2.92808,43.3526,2.93734,7.09,2.92022,2.27939,,2.6623,1.7353,0.25567,0.26793,0.26478,0.25286
late,290.2053,202.557,127.5275,202.3269,86.7032,61.5109,,1.7076,0.89434,0.00063311,0.00064876,1.1834,2.1504,,1.25438,17.3604,1.18971,1.57864,1.59871,1.33009,,11.3088,8.48421,0.273044,0.28115,0.29513,0.277339
late,1.8852,1.9583,1.6191,1.529,2.3442,0.95706,,4.6729,1.4779,0.00062134,0.00064487,2.6248,5.9898,,2.776,9.5706,3.9167,2.3845,1.3787,1.1148,,2.2381,1.6728,0.25082,0.2611,0.25796,0.24996
late,1.7757,2.0384,1.8282,1.7504,1.9035,1.4123,,2.4583,2.4301,3.277,1.2513,0.0006306,0.00064699,,8.77162,16.8167,6.52042,5.48071,3.46923,3.20303,,1.1716,0.80909,0.26154,0.27991,0.26976,0.25388
,,,,,,,,0.51836,0.39286,0.42856,0.34565,0.0089634,0.0093462,,1.8376,7.2555,1.5513,2.1015,1.8036,1.206,,1.1176,0.81808,0.24744,0.25824,0.25527,0.24759
ch average,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre ,6.941501,8.44456,5.613968805,5.320326676,5.68446,6.387304,,0.68373641,155.81768,1.04553696,0.76082873,1.12616548,0.83683093,,192.41086,135.728297,144.84507,415.80505,310.29005,87.379358,,0.728927,0.763416,0.703999,0.832822,0.807974,0.726199
early ,4.07024,4.76028,3.29017,3.09671,3.55412,3.65889,,0.301520901,0.290526858,0.178859055,0.189067196,0.2903123,0.302569,,6.396282,13.364647,4.0311404,6.941139,21.880603,7.430263,,40.153124,39.037596,26.646537,26.0710264,14.4571366,4.9437429
late ,57.52232346,39.77215277,26.31417222,37.97980889,46.68407556,16.50752222,,1.499888669,1.017551704,0.729811422,0.384398817,0.721959055,1.516668992,,3.278764,18.01333,3.263501,6.141968,2.612116,2.571739,,6.43619,5.567788,0.2672372,0.281454,0.2801354,0.2586565
,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMS: ,yellow,,,,,,,blue ,,,,,,,green ,,,,,,,yellowgreen ,,,,,
pre,5.178,5.5168,0.10633,0.10045,6.3129,6.3264,,2.65138,22.2821,2.89372,2.56715,3.52919,3.06791,,24.1735,17.4459,21.0348,20.2824,18.0156,10.041,,3.5135,3.6946,3.4243,3.7464,3.7452,3.4939
pre,7.6256,8.3548,7.1584,6.9525,6.9136,7.3996,,2.1696,43.6272,2.25277,2.16036,2.3613,2.30872,,64.5728,54.4336,55.9188,72.6483,62.3473,40.0328,,2.6988,2.6943,2.6632,2.8421,2.8544,2.6794
pre,8.7626,9.1926,8.1189,7.8673,7.8654,8.4139,,1.99078,24.0482,2.2079,2.05194,2.07666,2.06426,,39.7295,41.8589,37.2495,77.2463,42.8284,26.0108,,2.3872,2.4494,2.3636,2.6071,2.5565,2.3632
pre,9.58845,11.2772,8.4257,8.21128,8.08137,8.81762,,3.18382,43.4924,2.88729,2.8607,5.29595,3.28606,,21.6222,17.1598,18.881,24.6123,23.4279,10.1696,,3.2299,3.3364,3.1915,3.5963,3.5066,3.1908
