date,green,yellow,yellowgreen,blue
2021-08-14,conifer,PreSuburb,PreSuburb,conifer
2021-08-15,conifer,PreSuburb,PreSuburb,conifer
2021-08-16,conifer,PreSuburb,PreSuburb,conifer
2021-08-17,conifer,PreSuburb,PreSuburb,conifer
2021-08-18,conifer,PreSuburb,PreSuburb,conifer
2021-08-19,conifer,PreSuburb,PreSuburb,conifer
2021-08-20,conifer,PreSuburb,PreSuburb,conifer
2021-08-21,conifer,PreSuburb,PreSuburb,conifer
2021-08-22,conifer,PreSuburb,PreSuburb,conifer
2021-08-23,conifer,PreSuburb,PreSuburb,conifer
2021-08-24,down ,conifer,conifer,down
2021-08-25,oak,conifer,conifer,oak
2021-08-26,oak,conifer,conifer,oak
2021-08-27,oak,conifer,conifer,oak
2021-08-28,oak,conifer,conifer,oak
2021-08-29,oak,conifer,conifer,oak
2021-08-30,oak,conifer,conifer,oak
2021-08-31,oak,conifer,conifer,oak
2021-09-01,oak,conifer,conifer,oak
2021-09-02,oak,conifer,conifer,oak
2021-09-03,oak,conifer,conifer,oak
2021-09-04,oak,conifer,conifer,oak
2021-09-05,oak,conifer,conifer,oak
2021-09-06,oak,conifer,conifer,oak
2021-09-07,oak,conifer,conifer,oak
2021-09-08,oak,conifer,conifer,oak
2021-09-09,oak,conifer,conifer,oak
2021-09-10,oak,conifer,conifer,oak
2021-09-11,oak,conifer,conifer,oak
2021-09-12,oak,conifer,conifer,oak
2021-09-13,oak,conifer,conifer,oak
2021-09-14,oak,conifer,conifer,oak
2021-09-15,oak,conifer,conifer,oak
2021-09-16,oak,conifer,conifer,oak
2021-09-17,oak,conifer,conifer,oak
2021-09-18,oak,conifer,conifer,oak
2021-09-19,oak,conifer,conifer,oak
2021-09-20,oak,conifer,conifer,oak
2021-09-21,oak,conifer,conifer,oak
2021-09-22,oak,conifer,conifer,oak
2021-09-23,oak,conifer,conifer,oak
2021-09-24,oak,conifer,conifer,oak
2021-09-25,oak,conifer,conifer,oak
2021-09-26,oak,conifer,conifer,oak
2021-09-27,oak,conifer,conifer,oak
2021-09-28,oak,conifer,conifer,oak
2021-09-29,oak,conifer,conifer,oak
2021-09-30,oak,conifer,conifer,oak
2021-10-01,oak,conifer,conifer,oak
2021-10-02,oak,conifer,conifer,oak
2021-10-03,oak,conifer,conifer,oak
2021-10-04,oak,conifer,conifer,oak
2021-10-05,oak,conifer,conifer,oak
2021-10-06,oak,conifer,conifer,oak
2021-10-07,oak,conifer,conifer,oak
2021-10-08,oak,conifer,conifer,oak
2021-10-09,oak,conifer,conifer,oak
2021-10-10,oak,conifer,conifer,oak
2021-10-11,oak,conifer,conifer,oak
2021-10-12,oak,conifer,conifer,oak
2021-10-13,oak,conifer,conifer,oak
2021-10-14,oak,conifer,conifer,oak
2021-10-15,oak,conifer,conifer,oak
2021-10-16,oak,conifer,conifer,oak
2021-10-17,oak,conifer,conifer,oak
2021-10-18,oak,conifer,conifer,oak
2021-10-19,oak,conifer,conifer,oak
2021-10-20,oak,conifer,conifer,oak
2021-10-21,oak,conifer,conifer,oak
2021-10-22,oak,conifer,conifer,oak
2021-10-23,oak,conifer,conifer,oak
2021-10-24,oak,conifer,conifer,oak
2021-10-25,oak,conifer,conifer,oak
2021-10-26,oak,conifer,conifer,oak
2021-10-27,oak,conifer,conifer,oak
2021-10-28,oak,conifer,conifer,oak
2021-10-29,oak,conifer,conifer,oak
2021-10-30,oak,conifer,conifer,oak
2021-10-31,oak,conifer,conifer,oak
2021-11-01,oak,conifer,conifer,oak
2021-11-02,oak,conifer,conifer,oak
2021-11-03,oak,conifer,conifer,oak
2021-11-04,oak,conifer,conifer,oak
2021-11-05,oak,conifer,conifer,oak
2021-11-06,oak,conifer,conifer,oak
2021-11-07,oak,conifer,conifer,oak
2021-11-08,oak,conifer,conifer,oak
2021-11-09,oak,conifer,conifer,oak
2021-11-10,oak,conifer,conifer,oak
2021-11-11,oak,conifer,conifer,oak
2021-11-12,oak,conifer,conifer,oak
2021-11-13,oak,conifer,conifer,oak
2021-11-14,oak,conifer,conifer,oak
2021-11-15,oak,conifer,conifer,oak
2021-11-16,oak,conifer,conifer,oak
2021-11-17,oak,conifer,conifer,oak
2021-11-18,oak,conifer,conifer,oak
2021-11-19,oak,conifer,conifer,oak
2021-11-20,oak,conifer,conifer,oak
2021-11-21,oak,conifer,conifer,oak
2021-11-22,oak,conifer,conifer,oak
2021-11-23,oak,conifer,conifer,oak
2021-11-24,oak,conifer,conifer,oak
2021-11-25,oak,conifer,conifer,oak
2021-11-26,oak,conifer,conifer,oak
2021-11-27,oak,conifer,conifer,oak
2021-11-28,oak,conifer,conifer,oak
2021-11-29,oak,conifer,conifer,oak
2021-11-30,oak,conifer,conifer,oak
2021-12-01,oak,conifer,conifer,oak
2021-12-02,oak,conifer,conifer,oak
2021-12-03,oak,conifer,conifer,oak
2021-12-04,oak,conifer,conifer,oak
2021-12-05,oak,conifer,conifer,oak
2021-12-06,oak,conifer,conifer,oak
2021-12-07,oak,conifer,conifer,oak
2021-12-08,oak,conifer,conifer,oak
2021-12-09,oak,conifer,conifer,oak
2021-12-10,oak,conifer,conifer,oak
2021-12-11,oak,conifer,conifer,oak
2021-12-12,oak,conifer,conifer,oak
2021-12-13,oak,conifer,conifer,oak
2021-12-14,oak,conifer,conifer,oak
2021-12-15,oak,conifer,conifer,oak
2021-12-16,oak,conifer,conifer,oak
2021-12-17,oak,conifer,conifer,oak
2021-12-18,oak,conifer,conifer,oak
2021-12-19,oak,conifer,conifer,oak
2021-12-20,oak,conifer,conifer,oak
2021-12-21,oak,conifer,conifer,oak
2021-12-22,oak,conifer,conifer,oak
2021-12-23,oak,conifer,conifer,oak
2021-12-24,oak,conifer,conifer,oak
2021-12-25,oak,conifer,conifer,oak
2021-12-26,oak,conifer,conifer,oak
2021-12-27,oak,conifer,conifer,oak
2021-12-28,oak,conifer,conifer,oak
2021-12-29,oak,conifer,conifer,oak
2021-12-30,oak,conifer,conifer,oak
2021-12-31,oak,conifer,conifer,oak
2022-01-01,oak,conifer,conifer,oak
2022-01-02,oak,conifer,conifer,oak
2022-01-03,oak,conifer,conifer,oak
2022-01-04,oak,conifer,conifer,oak
2022-01-05,oak,conifer,conifer,oak
2022-01-06,oak,conifer,conifer,oak
2022-01-07,oak,conifer,conifer,oak
2022-01-08,oak,conifer,conifer,oak
2022-01-09,oak,conifer,conifer,oak
2022-01-10,oak,conifer,conifer,oak
2022-01-11,oak,conifer,conifer,oak
2022-01-12,oak,conifer,conifer,oak
2022-01-13,oak,conifer,conifer,oak
2022-01-14,oak,conifer,conifer,oak
2022-01-15,oak,conifer,conifer,oak
2022-01-16,oak,conifer,conifer,oak
2022-01-17,oak,conifer,conifer,oak
2022-01-18,oak,conifer,conifer,oak
2022-01-19,oak,conifer,conifer,oak
2022-01-20,oak,conifer,conifer,oak
2022-01-21,oak,conifer,conifer,oak
2022-01-22,oak,conifer,conifer,oak
2022-01-23,oak,conifer,conifer,oak
2022-01-24,oak,conifer,conifer,oak
