fileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\WavFieldRecordings\Raw\green\early\RAW_Green_early_12-06-55_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\early\RAW_Green_early_12-07-01_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\early\RAW_Green_early_12-09-43_dur=600secs.wav,OverPower,ok,OverPower,ok,ok,ok
Data\WavFieldRecordings\Raw\green\early\RAW_Green_early_12-12-13_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\late\RAW_Green_late_11-52-39_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\late\RAW_Green_late_12-06-34_dur=600secs.wav,dead,dead,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\late\RAW_Green_late_12-06-47_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\late\RAW_Green_late_12-07-01_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\late\RAW_Green_late_12-10-43_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\late\RAW_Green_late_12-12-27_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\late\RAW_Green_late_12-12-38_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\late\RAW_Green_late_12-12-51_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\late\RAW_Green_late_12-16-34_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\late\RAW_Green_late_12-16-53_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\green\pre\RAW_Green_pre_11-53-33_dur=600secs.wav,OverPower,ok,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\Raw\green\pre\RAW_Green_pre_12-01-35_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\Raw\green\pre\RAW_Green_pre_12-01-39_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\Raw\green\pre\RAW_Green_pre_12-01-48_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\Raw\green\pre\RAW_Green_pre_12-03-33_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,ok
Data\WavFieldRecordings\Raw\green\pre\RAW_Green_pre_12-03-42_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\Raw\green\pre\RAW_Green_pre_12-11-35_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\Raw\green\pre\RAW_Green_pre_12-12-37_dur=600secs.wav,ok,ok,OverPower,ok,OverPower,ok
Data\WavFieldRecordings\Raw\green\pre\RAW_Green_pre_12-13-45_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\Raw\green\pre\RAW_Green_pre_12-14-35_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\Raw\yellow\early\RAW_Yellow_early_11-33-34_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\early\RAW_Yellow_early_11-39-59_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\early\RAW_Yellow_early_11-53-17_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\early\RAW_Yellow_early_12-08-38_dur=600secs.wav,ok,OverPower,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\early\RAW_Yellow_early_12-15-52_dur=600secs.wav,ok,ok,ok,ok,ok,ok
