Time	Sep	R	Theta	Phi
1220	0	0.9999779997579946	0.0	-2.617981175819824
1240	0	0.9999779997579946	0.0	-2.617981175819824
1260	0	0.9999779997579946	0.0	-2.617981175819824
1280	0	0.9999779997579946	0.0	-2.617981175819824
1300	0	0.9999779997579946	0.0	-2.617981175819824
1340	1	0.9999779997579946	0.0	-2.617981175819824
1360	1	0.9999779997579946	0.0	-2.617981175819824
1380	1	0.9999779997579946	0.0	-2.617981175819824
1400	1	0.9999779997579946	0.0	-2.617981175819824
1420	1	0.9999779997579946	0.0	-2.617981175819824
1440	1	0.9999779997579946	0.0	-2.617981175819824
1460	1	0.9999779997579946	0.0	-2.617981175819824
1480	1	0.9999779997579946	0.0	-2.617981175819824
2600	2	0.9999779997579946	0.0	-2.617981175819824
2620	2	0.9999779997579946	0.0	-2.617981175819824
2640	2	0.9999779997579946	0.0	-2.617981175819824
2660	2	0.9999779997579946	0.0	-2.617981175819824
2680	2	0.9999779997579946	0.0	-2.617981175819824
2700	2	0.9999779997579946	0.0	-2.617981175819824
2720	2	0.9999779997579946	0.0	-2.617981175819824
2740	2	0.9999779997579946	0.0	-2.617981175819824
2760	2	0.9999779997579946	0.0	-2.617981175819824
2780	2	0.9999779997579946	0.0	-2.617981175819824
2800	2	0.9999779997579946	0.0	-2.617981175819824
2820	2	0.9999779997579946	0.0	-2.617981175819824
2840	2	0.9999779997579946	0.0	-2.617981175819824
2860	2	0.9999779997579946	0.0	-2.617981175819824
2880	2	0.9999779997579946	0.0	-2.617981175819824
2900	2	0.9999779997579946	0.0	-2.617981175819824
2920	2	0.9999779997579946	0.0	-2.617981175819824
2940	2	0.9999779997579946	0.0	-2.617981175819824
2960	2	0.9999779997579946	0.0	-2.617981175819824
4080	3	0.9999779997579946	0.0	-1.0471848490249271
4100	3	0.9999779997579946	0.0	-1.0471848490249271
4120	3	0.9999779997579946	0.0	-1.0471848490249271
4140	3	0.9999779997579946	0.0	-1.0471848490249271
4160	3	0.9999779997579946	0.0	-1.0471848490249271
4180	3	0.9999779997579946	0.0	-1.0471848490249271
4200	3	0.9999779997579946	0.0	-1.0471848490249271
4220	3	0.9999779997579946	0.0	-1.0471848490249271
4240	3	0.9999779997579946	0.0	-1.0471848490249271
4260	3	0.9999779997579946	0.0	-1.0471848490249271
4280	3	0.9999779997579946	0.0	-1.0471848490249271
4300	3	0.9999779997579946	0.0	-1.0471848490249271
4320	3	0.9999779997579946	0.0	-1.0471848490249271
4340	3	0.9999779997579946	0.0	-1.0471848490249271
4360	3	0.9999779997579946	0.0	-1.0471848490249271
4380	3	0.9999779997579946	0.0	-1.0471848490249271
4400	3	0.9999779997579946	0.0	-1.0471848490249271
4420	3	0.9999779997579946	0.0	-1.0471848490249271
4440	3	0.9999779997579946	0.0	-1.0471848490249271
5620	4	0.9999839998719979	0.0	-0.17448682501833415
5640	4	0.9999839998719979	0.0	-0.17448682501833415
5660	4	0.9999839998719979	0.0	-0.17448682501833415
5680	4	0.9999839998719979	0.0	-0.17448682501833415
5700	4	0.9999839998719979	0.0	-0.17448682501833415
5720	4	0.9999839998719979	0.0	-0.17448682501833415
5740	4	0.9999839998719979	0.0	-0.17448682501833415
5760	4	0.9999839998719979	0.0	-0.17448682501833415
5780	4	0.9999839998719979	0.0	-0.17448682501833415
5800	4	0.9999839998719979	0.0	-0.17448682501833415
5820	4	0.9999839998719979	0.0	-0.17448682501833415
5840	4	0.9999839998719979	0.0	-0.17448682501833415
5860	4	0.9999839998719979	0.0	-0.17448682501833415
5880	4	0.9999839998719979	0.0	-0.17448682501833415
5900	4	0.9999839998719979	0.0	-0.17448682501833415
5920	4	0.9999839998719979	0.0	-0.17448682501833415
5940	4	0.9999839998719979	0.0	-0.17448682501833415
5960	4	0.9999839998719979	0.0	-0.17448682501833415
7080	5	0.9999779997579946	0.0	0.5236114777699694
7100	5	0.9999779997579946	0.0	0.5236114777699694
7120	5	0.9999779997579946	0.0	0.5236114777699694
7140	5	0.9999779997579946	0.0	0.5236114777699694
7160	5	0.9999779997579946	0.0	0.5236114777699694
7180	5	0.9999779997579946	0.0	0.5236114777699694
7200	5	0.9999779997579946	0.0	0.5236114777699694
7220	5	0.9999779997579946	0.0	0.5236114777699694
7240	5	0.9999779997579946	0.0	0.5236114777699694
7260	5	0.9999779997579946	0.0	0.5236114777699694
7280	5	0.9999779997579946	0.0	0.5236114777699694
7300	5	0.9999779997579946	0.0	0.5236114777699694
7320	5	0.9999779997579946	0.0	0.5236114777699694
7340	5	0.9999779997579946	0.0	0.5236114777699694
7360	5	0.9999779997579946	0.0	0.5236114777699694
7380	5	0.9999779997579946	0.0	0.5236114777699694
7400	5	0.9999779997579946	0.0	0.5236114777699694
7420	5	0.9999779997579946	0.0	0.5236114777699694
7440	5	0.9999779997579946	0.0	0.5236114777699694
8560	6	0.9999852248908481	0.0	2.0071153797836527
8580	6	0.9999852248908481	0.0	2.0071153797836527
8600	6	0.9999779997579946	0.0	2.094407804564866
8620	6	0.9999779997579946	0.0	2.094407804564866
8640	6	0.9999852248908481	0.0	2.0071153797836527
8660	6	0.9999779997579946	0.0	2.094407804564866
8680	6	0.9999779997579946	0.0	2.094407804564866
8700	6	0.9999779997579946	0.0	2.094407804564866
8720	6	0.9999852248908481	0.0	2.0071153797836527
8740	6	0.9999779997579946	0.0	2.094407804564866
8760	6	0.9999852248908481	0.0	2.0071153797836527
8780	6	0.9999779997579946	0.0	2.094407804564866
8800	6	0.9999852248908481	0.0	2.0071153797836527
8820	6	0.9999852248908481	0.0	2.0071153797836527
8840	6	0.9999852248908481	0.0	2.0071153797836527
8860	6	0.9999852248908481	0.0	2.0071153797836527
8880	6	0.9999852248908481	0.0	2.0071153797836527
8900	6	0.9999852248908481	0.0	2.0071153797836527
8920	6	0.9999852248908481	0.0	2.0071153797836527
10100	7	0.9999701245537288	0.0	2.8798049779614643
10120	7	0.9999701245537288	0.0	2.8798049779614643
10140	7	0.9999839998719979	0.0	2.967105828571459
10160	7	0.9999701245537288	0.0	2.8798049779614643
10180	7	0.9999701245537288	0.0	2.8798049779614643
10200	7	0.9999701245537288	0.0	2.8798049779614643
10220	7	0.9999701245537288	0.0	2.8798049779614643
10240	7	0.9999701245537288	0.0	2.8798049779614643
10240	8	0.9999779997579946	0.0	-0.5236114777699694
10260	7	0.9999701245537288	0.0	2.8798049779614643
10260	8	0.9999779997579946	0.0	-0.5236114777699694
10280	8	0.9999779997579946	0.0	-0.5236114777699694
10300	8	0.9999779997579946	0.0	-0.5236114777699694
10320	9	1.0000527986061536	0.0	-2.5307356190132495
10340	9	0.9999904099540154	0.0	-2.356194490192345
10360	9	0.9999904099540154	0.0	-2.356194490192345
10360	10	1.0000091399582305	0.0	0.08731008894937044
10380	9	0.9999904099540154	0.0	-2.356194490192345
10380	10	1.0	0.0	0.0
10400	9	0.9999904099540154	0.0	-2.356194490192345
10400	10	1.0	0.0	0.0
10420	10	1.0	0.0	0.0
10440	10	1.0	0.0	0.0
10460	10	1.0	0.0	0.0
12200	11	0.9999779997579946	0.0	-2.617981175819824
12220	11	0.9999779997579946	0.0	-2.617981175819824
12240	11	0.9999779997579946	0.0	-2.617981175819824
12240	12	0.9999779997579946	0.0	0.5236114777699694
12260	11	0.9999779997579946	0.0	-2.617981175819824
12260	12	0.9999779997579946	0.0	0.5236114777699694
12280	11	0.9999779997579946	0.0	-2.617981175819824
12280	12	0.9999779997579946	0.0	0.5236114777699694
12300	11	0.9999779997579946	0.0	-2.617981175819824
12300	12	0.9999779997579946	0.0	0.5236114777699694
12320	11	0.9999779997579946	0.0	-2.617981175819824
12320	12	0.9999779997579946	0.0	0.5236114777699694
12340	12	0.9999779997579946	0.0	0.5236114777699694
12360	12	0.9999779997579946	0.0	0.5236114777699694
12380	12	0.9999779997579946	0.0	0.5236114777699694
12400	12	0.9999779997579946	0.0	0.5236114777699694
12420	12	0.9999779997579946	0.0	0.5236114777699694
12440	12	0.9999779997579946	0.0	0.5236114777699694
12460	12	0.9999779997579946	0.0	0.5236114777699694
12680	13	0.9999779997579946	0.0	0.5236114777699694
12700	13	0.9999779997579946	0.0	0.5236114777699694
12720	13	0.9999779997579946	0.0	0.5236114777699694
12740	13	0.9999779997579946	0.0	0.5236114777699694
12840	14	0.9999779997579946	0.0	0.5236114777699694
12860	14	0.9999779997579946	0.0	0.5236114777699694
12880	14	0.9999779997579946	0.0	0.5236114777699694
12900	14	0.9999779997579946	0.0	0.5236114777699694
13140	15	0.9999852248908481	0.0	-0.4363190529887563
13160	15	0.9999852248908481	0.0	-0.4363190529887563
13180	15	0.9999852248908481	0.0	-0.4363190529887563
13200	15	0.9999852248908481	0.0	-0.4363190529887563
