fileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\WavFieldRecordings\green\late\12-16-53_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\green\pre\11-53-33_dur=600secs.wav,OverPower,ok,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\green\pre\12-01-35_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\green\pre\12-01-39_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\green\pre\12-01-48_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\green\pre\12-03-33_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,ok
Data\WavFieldRecordings\green\pre\12-03-42_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\green\pre\12-11-35_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\green\pre\12-12-37_dur=600secs.wav,ok,ok,OverPower,ok,OverPower,ok
Data\WavFieldRecordings\green\pre\12-13-45_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\green\pre\12-14-35_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\yellow\early\11-33-34_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\early\11-39-59_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\early\11-53-17_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\early\12-08-38_dur=600secs.wav,ok,OverPower,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\early\12-15-52_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\early\12-26-14_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\early\12-28-44_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\early\12-30-56_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\early\12-52-18_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\early\13-12-17_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\late\11-27-23_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\late\11-28-22_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\late\11-41-23_dur=600secs.wav,ok,ok,ok,ok,OverPower,ok
Data\WavFieldRecordings\yellow\late\11-52-25_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\yellow\late\12-07-36_dur=600secs.wav,ok,ok,ok,ok,OverPower,ok
Data\WavFieldRecordings\yellow\late\12-28-53_dur=600secs.wav,dead,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\late\12-39-04_dur=600secs.wav,OverPower,ok,OverPower,OverPower,OverPower,ok
Data\WavFieldRecordings\yellow\late\12-41-23_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\late\13-51-57_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\pre\11-06-34_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\yellow\pre\11-44-13_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\pre\11-46-20_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\pre\11-54-14_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\pre\11-54-18_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\pre\12-06-22_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\pre\12-06-40_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\pre\12-14-21_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\pre\12-24-21_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellow\pre\12-25-26_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\early\12-00-39_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\early\12-02-35_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\early\12-02-39_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\early\12-04-25_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\early\12-06-06_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\early\12-07-23_dur=600secs.wav,ok,dead,dead,ok,ok,dead
Data\WavFieldRecordings\yellowgreen\early\12-09-58_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\early\12-13-00_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\early\12-24-32_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\early\14-10-34_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,ok,ok
Data\WavFieldRecordings\yellowgreen\late\11-45-57_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\late\11-54-19_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\late\12-02-15_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\late\12-02-31_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\late\12-05-23_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\late\12-07-22_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\yellowgreen\late\12-08-42_dur=600secs.wav,ok,ok,ok,ok,ok,ok
