fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-06-34_dur=600secs.wav,ok,ok,dead,dead,ok,ok
11-44-13_dur=600secs.wav,ok,ok,ok,ok,ok,ok
11-46-20_dur=600secs.wav,ok,ok,ok,ok,ok,ok
11-54-14_dur=600secs.wav,ok,ok,ok,ok,ok,ok
11-54-18_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-06-22_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-06-40_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-14-21_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-24-21_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-25-26_dur=600secs.wav,ok,ok,ok,ok,ok,ok
