FileRoot,FileName,ch1,ch2,GREEN,ch4,ch5,ch6,,ch1,ch2,YELLOW,ch4,ch5,ch6,,ch1,ch2,YELLOGREEN,ch4,ch5,ch6,,ch1,ch2,BLUE,ch4,ch5,ch6
Data\green\late,12-06-34_dur=600secs.wav,1.38035,27.0348,1.41884,12.2922,1.35448,1.77769,,1.3205,1.4875,1.4374,1.4461,1.2817,1.0577,,3.13609,12.0791,0.282155,0.288315,0.291803,0.279754,,0.31153,0.29991,0.32298,0.31241,0.31327,0.30573
Data\green\late,12-06-47_dur=600secs.wav,0.96135,1.684,1.0118,1.0117,1.0336,1.0269,,1.0076,1.0601,1.0591,1.0445,0.73889,0.92295,,0.96495,4.5507,0.27857,0.28864,0.29438,0.27942,,0.31472,0.30199,0.32063,0.28333,0.30649,0.31411
Data\green\late,12-07-01_dur=600secs.wav,0.68679,0.27824,0.75631,0.51462,0.64752,0.58262,,5.5828,6.2086,5.3102,5.0305,4.5277,3.5507,,1.881,8.088,0.2826,0.28969,0.29268,0.28177,,0.31036,0.28732,0.31973,0.27982,0.29101,0.32097
Data\green\late,12-10-43_dur=600secs.wav,1.2336,3.9488,1.2213,1.2882,1.1226,1.3871,,1.4847,1.7353,1.6877,1.6638,0.98041,1.1372,,0.91301,3.1377,0.27534,0.28379,0.28836,0.27829,,0.31758,0.28003,0.29388,0.32755,0.34091,0.32777
Data\green\late,12-12-27_dur=600secs.wav,1.55764,28.1256,1.53983,2.04487,1.68892,2.102,,0.27065,0.2952,1.6472,1.9325,1.8684,1.9956,,0.92437,3.0169,0.27214,0.27818,0.2814,0.27291,,0.36188,0.34003,0.34175,0.31574,0.31946,0.28129
Data\green\late,12-12-38_dur=600secs.wav,1.87357,10.3293,1.97062,2.73198,2.18836,3.06872,,5.1187,5.7475,5.0819,4.8784,2.435,2.8839,,1.878,7.6769,0.28759,0.29139,0.29584,0.28067,,0.32202,0.30189,0.31967,0.28394,0.31373,0.32221
Data\green\late,12-12-51_dur=600secs.wav,0.97378,4.3826,1.0213,1.0784,1.069,1.0965,,1.2505,1.4052,1.3561,1.3411,1.1964,1.0259,,1.153,3.0442,0.26856,0.27656,0.28017,0.27174,,0.689,0.3581,0.31818,0.28011,0.59674,0.46782
Data\green\late,12-16-34_dur=600secs.wav,1.1006,5.4339,1.1672,1.3316,1.2621,1.3221,,1.4945,1.6874,1.6241,1.6193,1.2026,1.1307,,0.63592,1.9081,0.27613,0.28781,0.29288,0.27772,,0.29659,0.28607,0.30516,0.2806,0.31955,0.28271
Data\green\late,12-16-53_dur=600secs.wav,0.9348,2.1605,0.98351,1.0059,1.0126,1.0093,,,,,,,,,0.77634,2.058,0.26749,0.27551,0.27907,0.27152,,0.31785,0.30801,0.30316,0.28496,0.32003,0.29311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG10,,-0.422726551,-0.151023092,-0.141992459,-0.195731049,-0.357406892,-0.080430334,,-0.167120818,-0.424154282,-0.578067187,-0.545719327,-1.349721625,0.040997692,,-0.084220389,0.113976758,-0.256929455,-0.035622499,-0.146983569,-0.197438344,,-0.454235321,-0.569296221,-0.484894796,-0.488196824,-0.466723762,-0.48555851
,,0.293936814,0.399569894,0.587093312,0.521713274,0.712439237,0.751494658,,-0.335658939,0.997670287,0.433321712,0.748970603,0.621051586,0.459950077,,-0.195261014,-0.143464441,-0.41665384,-0.152192984,-0.298017776,-0.340740014,,-0.359151009,-0.570070164,-0.422324411,-0.423094549,-0.38192051,-0.392180537
,,0.381981,0.710041166,0.568518526,0.740765212,0.676043968,0.77309131,,-0.771240445,0.675430033,0.0801212,0.39846085,0.494947293,0.155548577,,-0.207181231,-0.167823322,-0.337213846,-0.145657515,-0.292949585,-0.27072989,,-0.492063211,-0.832682665,-0.516498287,-0.520525466,-0.505080497,-0.513059719
,,-1.017294689,-0.870922676,-0.477451444,-0.840553127,-0.651208532,-0.345121066,,-0.583426056,0.800008711,0.500579492,0.823382926,0.642068627,0.466304006,,0.062243441,0.107583031,-0.203557501,0.138302698,-0.071809052,-0.105512248,,-0.460171442,-0.739713904,-0.464921181,-0.47653969,-0.445317056,-0.465897709
,,-0.243265027,-0.009425855,-0.001095803,-0.129707316,-0.077435422,0.081779227,,-0.733603651,0.835608143,0.184890082,0.504987087,0.742292978,0.270422608,,-0.206600796,-0.206502968,-0.369673845,-0.166750863,-0.374111616,-0.297207702,,-0.497177006,-0.81690106,-0.449722715,-0.458308453,-0.437279001,-0.468661613
,,-0.352920359,-0.266016739,0.093631777,0.509336958,0.596520125,0.341928884,,-0.697106542,0.786162028,0.170379076,0.530263749,0.553664611,0.19379223,,-0.111466697,-0.024586575,-0.195840115,-0.103997677,-0.15462286,-0.123626257,,-0.383261993,-0.602807621,-0.414742365,-0.421842333,-0.388467866,-0.40554115
,,0.064233296,0.253604511,0.337738717,0.496943479,0.564322753,0.71108984,,-0.471108998,0.880104428,0.482430492,0.803798408,0.601081728,0.454250155,,-0.285921835,-0.260942152,-0.532081267,-0.268548232,-0.400029641,-0.385545737,,-0.372654629,-0.43456543,-0.409091322,-0.429211963,-0.359458939,-0.388404132
,,-0.749458022,-0.426223593,-0.245391777,-0.492602942,-0.385883529,-0.204655363,,-0.814259582,0.786644964,0.187943529,0.604247659,0.866045012,0.218404199,,0.067256889,0.185910285,-0.04135968,0.090645958,-0.033839487,0.01300585,,-0.527360548,-0.733980091,-0.527053497,-0.497873439,-0.537691865,-0.527872783
,,-0.666693819,-0.526016977,-0.239283563,-0.324459944,-0.175555236,-0.03308427,,-0.853902986,0.643778275,0.07107155,0.407628809,0.662124811,0.158422807,,-0.182289229,-0.139230908,-0.263245054,-0.181853316,-0.195710602,-0.207580292,,-0.39901622,-0.119249271,-0.422427783,-0.43843355,-0.403611856,-0.418186826
,,0.371437317,0.233046902,0.425957875,0.472814936,0.399362164,0.751617783,,-0.509325315,0.789876721,0.311817412,0.519473591,0.565351873,0.218955418,,-0.217226484,-0.164994696,-0.337421588,-0.145184038,-0.33916297,-0.290670667,,-0.367866778,-0.301125551,-0.422416296,-0.421406628,-0.395244905,-0.398439735
,,0.004450353,0.670987603,0.022469613,0.055072382,0.035629828,0.045948538,,0.14500984,0.166637294,0.113274692,0.11994836,0.102536607,0.06870522,,-0.130733069,0.084683498,-0.54999737,-0.537497185,-0.539147242,-0.55531517,,-0.508876533,-0.525929497,-0.509971252,-0.558304864,-0.520943216,-0.516056286
,,-0.038446027,0.667789051,-0.016784299,-0.004092908,-0.009874348,-0.009852135,,0.277884142,0.32697045,0.21911278,0.22860565,0.299005816,0.375114685,,0.128237671,0.26810973,-0.457523144,-0.453432661,-0.469083475,-0.5104071,,-0.551185506,-0.555533612,-0.545353284,-0.559768064,-0.54498755,-0.55158743
,,0.027512692,0.986395481,0.043872912,0.22331419,0.74828108,0.25093207,,0.155943018,0.200604292,0.120738406,0.12567641,0.177016767,0.217957462,,-0.122766913,0.176467485,-0.536495214,-0.525041116,-0.529574807,-0.548428463,,-0.512409175,-0.528678946,-0.504608317,-0.558461961,-0.527111966,-0.515643208
,,0.10591874,0.90663668,0.108903128,0.168998077,0.03530964,0.160768562,,0.262925469,0.308051921,0.211520997,0.216350669,0.265596023,0.383438335,,0.140130778,0.452736853,-0.470146338,-0.465440877,-0.504816568,-0.541226219,,-0.498475183,-0.496413579,-0.508638306,-0.519820524,-0.490689926,-0.506834831
