Time	Sep	R	Theta	Phi
520	0	1.0000527986061536	0.0	-2.5307356190132495
540	0	1.0000527986061536	0.0	-2.5307356190132495
560	0	1.0000527986061536	0.0	-2.5307356190132495
580	0	1.0000527986061536	0.0	-2.5307356190132495
620	1	0.9999779997579946	0.0	-2.617981175819824
640	1	1.0000527986061536	0.0	-2.5307356190132495
660	1	1.0000527986061536	0.0	-2.5307356190132495
680	1	1.0000527986061536	0.0	-2.5307356190132495
700	1	1.0000527986061536	0.0	-2.5307356190132495
720	1	1.0000527986061536	0.0	-2.5307356190132495
740	1	1.0000527986061536	0.0	-2.5307356190132495
