iid	sid	time	duration	azimuth	species
0	0	17.1	2.299999999999997	-145.00047003288702	1
1	1	18.3	2.099999999999998	30.000727780827372	10
2	2	18.5	2.1000000000000014	-149.99927221917267	1
3	3	30.7	5.699999999999999	-149.99927221917267	1
4	4	36.3	2.1000000000000014	-135.00000000000003	2
5	5	45.5	5.899999999999999	-55.000470032887044	6
6	6	50.3	2.3000000000000043	-65.00075974259934	5
7	7	51.5	2.1000000000000014	-40.00218067791929	6
8	8	60.5	5.900000000000006	-9.99735865418825	8
9	9	75.5	5.900000000000006	30.000727780827372	10
10	10	90.9	5.699999999999989	120.00072778082736	15
11	11	105.9	3.299999999999997	165.00067105795696	17
12	12	108.5	2.0999999999999943	-59.999272219172624	6
13	13	109.1	2.3000000000000114	-30.000727780827372	7
14	14	110.1	2.700000000000003	-19.998770869544416	8
15	15	126.9	2.0999999999999943	-149.99927221917267	1
16	16	127.1	2.3000000000000114	24.99924025740066	10
17	17	128.3	2.5	30.000727780827372	10
18	18	134.9	2.299999999999983	-49.99781932208071	6
19	19	135.5	2.0999999999999943	-99.99735865418826	4
20	20	135.7	2.1000000000000227	-75.00067105795695	5
21	21	136.1	2.3000000000000114	-120.00072778082736	2
22	22	137.5	3.6999999999999886	-165.00067105795696	0
