iid	sid	time	duration	azimuth	species
0	0	16.5	3.8999999999999986	-149.99927221917267	1
1	1	17.9	2.1000000000000014	30.000727780827372	10
2	2	30.5	4.899999999999999	-145.00047003288702	1
3	3	37.1	2.1000000000000014	-75.00067105795695	5
4	4	38.3	2.1000000000000014	-65.00075974259934	5
5	5	40.5	2.1000000000000014	-45.0	6
6	6	45.3	4.900000000000006	-59.999272219172624	6
7	7	49.9	2.1000000000000014	-40.00218067791929	6
8	8	60.5	5.099999999999994	-14.999328942043046	8
9	9	64.3	2.1000000000000085	-14.999328942043046	8
10	10	75.3	5.1000000000000085	30.000727780827372	10
11	11	90.1	5.1000000000000085	120.00072778082736	15
12	12	105.3	3.299999999999997	170.00264134581175	17
13	13	108.1	2.700000000000003	-9.99735865418825	8
14	14	126.5	2.0999999999999943	30.000727780827372	10
15	15	127.69999999999999	2.9000000000000057	30.000727780827372	10
16	16	127.9	2.0999999999999943	-149.99927221917267	1
17	17	133.7	2.1000000000000227	-45.0	6
18	18	134.7	2.1000000000000227	-70.00122913045558	5
19	19	135.1	2.3000000000000114	-109.99877086954442	3
20	20	135.9	2.0999999999999943	-124.99952996711295	2
