Sep	Start time	Start azimuth	End time	End azimuth
0	30.30	-145.00	33.40	-145.00
1	32.10	-145.00	35.00	-145.00
2	45.10	-60.00	50.20	-60.00
3	60.50	-15.00	65.40	-15.00
4	75.30	25.00	80.20	25.00
5	89.90	120.00	95.00	120.00
6	105.30	175.00	108.40	175.00
7	107.50	-10.00	110.00	-10.00
8	131.70	15.00	134.40	15.00
