0,4.1035e-08
0.60002,2.9117e-10
1.2,3.2606e-10
1.8,2.9239e-11
2.4001,9.3563e-11
3.0001,5.9378e-10
3.6001,3.6227e-10
4.2001,1.1948e-11
4.8001,3.8906e-11
5.4001,4.3525e-10
6.0002,3.0521e-10
6.6002,2.0363e-10
7.2002,1.5593e-10
7.8002,1.3787e-09
8.4002,4.1455e-10
9.0002,2.1281e-10
9.6002,4.017e-10
10.2,7.6245e-09
10.8,1.6718e-09
11.4,4.5966e-10
12,6.442e-11
12.6,2.2634e-11
13.2,1.3147e-09
13.8,5.3015e-09
14.4,6.3503e-10
15,5.9548e-10
15.6,9.9015e-11
16.2,1.0665e-09
16.8,3.6773e-10
17.4,1.1032e-09
18,3.1599e-10
18.6,4.2452e-10
19.2,2.1362e-10
19.8,1.7661e-10
20.401,2.9974e-10
21.001,2.9627e-10
21.601,1.871e-10
22.201,3.2988e-10
22.801,6.7024e-10
23.401,2.9179e-10
24.001,1.9993e-10
24.601,1.04e-09
25.201,3.8088e-10
25.801,9.6224e-11
26.401,3.0051e-09
27.001,1.2032e-09
27.601,4.1048e-10
28.201,4.0703e-10
28.801,3.9207e-09
29.401,1.5832e-09
30.001,2.7473e-10
30.601,1.8251e-09
31.201,8.1527e-10
31.801,1.3926e-10
32.401,3.8356e-10
33.001,1.2797e-09
33.601,2.3536e-09
34.201,7.5619e-10
34.801,6.2667e-10
35.401,3.8758e-10
36.001,1.4701e-10
36.601,1.0405e-10
37.201,2.1083e-11
37.801,2.77e-10
38.401,4.5208e-11
39.001,6.4465e-10
39.601,8.8947e-10
40.201,2.5823e-10
40.801,3.3565e-10
41.401,1.168e-10
42.001,3.6945e-10
42.601,7.3778e-10
43.201,2.5619e-10
43.801,7.4218e-10
44.401,3.1106e-10
45.001,5.7809e-10
45.601,6.3069e-11
46.201,7.4986e-11
46.801,4.4394e-11
47.401,1.149e-10
48.001,7.4978e-10
48.601,1.0209e-10
49.201,4.2655e-08
49.801,1.423e-10
50.401,4.377e-10
51.001,2.1665e-10
51.601,1.6784e-09
52.201,5.6386e-10
52.801,8.0237e-10
53.401,1.3409e-09
54.001,5.0896e-10
54.601,1.5403e-09
55.201,3.0786e-09
55.801,6.3903e-10
56.401,6.0882e-11
57.001,3.8995e-10
57.601,1.3674e-10
58.201,1.313e-10
58.801,1.9725e-10
59.401,7.3301e-11
60.002,2.4939e-10
60.602,6.8106e-12
61.202,2.8755e-11
61.802,2.6085e-11
62.402,2.488e-10
63.002,6.7087e-11
63.602,5.0526e-11
64.202,2.7082e-10
64.802,1.6667e-10
65.402,1.4432e-10
66.002,3.8386e-10
66.602,3.1004e-11
67.202,1.0198e-09
67.802,6.8181e-10
68.402,1.341e-09
69.002,3.2731e-10
69.602,5.1963e-10
70.202,6.0786e-10
70.802,5.9761e-09
71.402,1.6834e-09
72.002,1.412e-10
72.602,1.8897e-09
73.202,1.98e-12
73.802,6.5137e-10
74.402,7.2763e-10
75.002,2.0206e-10
75.602,2.8032e-10
76.202,2.1817e-10
76.802,4.5232e-10
77.402,2.2988e-10
78.002,2.3675e-09
78.602,3.707e-10
79.202,1.6824e-10
79.802,1.4563e-10
80.402,1.2738e-09
81.002,2.7221e-11
81.602,7.2623e-10
82.202,7.8504e-11
82.802,5.7488e-11
83.402,2.1433e-10
84.002,3.3281e-10
84.602,3.3903e-10
85.202,2.375e-10
85.802,7.1278e-10
86.402,2.8395e-10
87.002,3.5681e-11
87.602,1.1861e-10
88.202,4.1777e-11
88.802,3.4644e-10
89.402,1.5682e-11
90.002,2.7352e-10
90.602,3.056e-10
91.202,4.4768e-10
91.802,3.1406e-11
92.402,1.9993e-10
93.002,1.0272e-11
93.602,3.0865e-12
94.202,1.1056e-10
94.802,2.1116e-11
95.402,2.7847e-10
