Time	Sep	R	Theta	Phi
1880	0	1.0000527986061536	0.0	-2.5307356190132495
1900	0	1.0000527986061536	0.0	-2.5307356190132495
1920	0	1.0000527986061536	0.0	-2.5307356190132495
1940	0	1.0000527986061536	0.0	-2.5307356190132495
3140	1	0.999973919659908	0.0	-2.4434228927824444
3160	1	0.999973919659908	0.0	-2.4434228927824444
3180	1	0.999973919659908	0.0	-2.4434228927824444
3200	1	0.999973919659908	0.0	-2.4434228927824444
3220	2	0.999973919659908	0.0	-2.4434228927824444
3240	2	0.999973919659908	0.0	-2.4434228927824444
3260	2	0.999973919659908	0.0	-2.4434228927824444
3280	2	0.999973919659908	0.0	-2.4434228927824444
3300	2	0.999973919659908	0.0	-2.4434228927824444
3320	2	0.999973919659908	0.0	-2.4434228927824444
3340	2	0.999973919659908	0.0	-2.4434228927824444
3360	2	0.999973919659908	0.0	-2.4434228927824444
3380	2	0.999973919659908	0.0	-2.4434228927824444
3400	2	0.999973919659908	0.0	-2.4434228927824444
3420	2	0.999973919659908	0.0	-2.4434228927824444
3440	2	0.999973919659908	0.0	-2.4434228927824444
3460	2	1.0000527986061536	0.0	-2.5307356190132495
3480	2	1.0000527986061536	0.0	-2.5307356190132495
3500	2	0.999973919659908	0.0	-2.4434228927824444
3520	2	0.999973919659908	0.0	-2.4434228927824444
3540	2	0.999973919659908	0.0	-2.4434228927824444
3560	2	0.999973919659908	0.0	-2.4434228927824444
4760	3	0.9999779997579946	0.0	-1.0471848490249271
4780	3	0.9999779997579946	0.0	-1.0471848490249271
4800	3	0.9999779997579946	0.0	-1.0471848490249271
4820	3	0.9999779997579946	0.0	-1.0471848490249271
4840	3	0.9999779997579946	0.0	-1.0471848490249271
4860	3	0.9999779997579946	0.0	-1.0471848490249271
4920	4	0.9999779997579946	0.0	-1.0471848490249271
4940	4	0.9999779997579946	0.0	-1.0471848490249271
4960	4	0.9999779997579946	0.0	-1.0471848490249271
4980	4	0.9999779997579946	0.0	-1.0471848490249271
6240	5	1.0000000449999988	0.0	-0.34904439802547943
6260	5	1.0000000449999988	0.0	-0.34904439802547943
6280	5	1.0000000449999988	0.0	-0.34904439802547943
6300	5	1.0000000449999988	0.0	-0.34904439802547943
6320	5	1.0000000449999988	0.0	-0.34904439802547943
6340	5	1.0000000449999988	0.0	-0.34904439802547943
6380	6	0.9999852248908481	0.0	-0.4363190529887563
6400	6	0.9999852248908481	0.0	-0.4363190529887563
6420	6	0.9999852248908481	0.0	-0.4363190529887563
6440	6	0.9999852248908481	0.0	-0.4363190529887563
7640	7	0.9999852248908481	0.0	0.4363190529887563
7660	7	0.9999852248908481	0.0	0.4363190529887563
7680	7	0.9999852248908481	0.0	0.4363190529887563
7700	7	0.9999852248908481	0.0	0.4363190529887563
7720	7	0.9999852248908481	0.0	0.4363190529887563
7740	7	0.9999852248908481	0.0	0.4363190529887563
7760	7	0.9999852248908481	0.0	0.4363190529887563
7780	7	0.9999852248908481	0.0	0.4363190529887563
7800	7	0.9999852248908481	0.0	0.4363190529887563
7820	7	0.9999852248908481	0.0	0.4363190529887563
7840	7	0.9999852248908481	0.0	0.4363190529887563
7860	7	0.9999852248908481	0.0	0.4363190529887563
7880	7	0.9999852248908481	0.0	0.4363190529887563
7900	7	0.9999852248908481	0.0	0.4363190529887563
7920	7	0.9999852248908481	0.0	0.4363190529887563
7940	7	0.9999852248908481	0.0	0.4363190529887563
7960	7	0.9999852248908481	0.0	0.4363190529887563
7980	7	0.9999852248908481	0.0	0.4363190529887563
8000	7	0.9999852248908481	0.0	0.4363190529887563
9160	8	1.0000527986061536	0.0	2.18165336137144
9180	8	1.0000527986061536	0.0	2.18165336137144
9200	8	0.9999779997579946	0.0	2.094407804564866
9220	8	0.9999779997579946	0.0	2.094407804564866
9240	8	0.9999779997579946	0.0	2.094407804564866
9260	8	0.9999779997579946	0.0	2.094407804564866
9280	8	1.0000527986061536	0.0	2.18165336137144
