iid	sid	time	duration	azimuth	species
0	0	18.3	2.099999999999998	-145.00047003288702	1
1	1	30.9	2.1000000000000014	-139.99781932208072	2
2	2	31.700000000000003	4.899999999999999	-139.99781932208072	2
3	3	47.1	2.5	-59.999272219172624	6
4	4	48.7	2.0999999999999943	-59.999272219172624	6
5	5	61.9	2.5	-19.998770869544416	8
6	6	63.3	2.1000000000000085	-24.99924025740066	7
7	7	75.9	5.099999999999994	24.99924025740066	10
8	8	91.1	5.900000000000006	124.99952996711295	15
9	9	106.1	3.3000000000000114	174.99750039428926	17
10	10	108.9	2.0999999999999943	-9.99735865418825	8
11	11	131.9	2.6999999999999886	14.999328942043046	9
