Frequency (Hz)	Level (dB)
3718.750000	-50.099670
3734.375000	-48.987389
3750.000000	-49.733360
3765.625000	-51.419834
3781.250000	-53.301746
3796.875000	-52.478539
3812.500000	-49.600380
3828.125000	-50.222431
3843.750000	-50.390053
3859.375000	-51.394238
3875.000000	-52.836517
3890.625000	-55.284302
3906.250000	-52.042976
3921.875000	-49.567009
3937.500000	-50.844097
3953.125000	-52.611935
3968.750000	-52.893551
3984.375000	-50.513489
4000.000000	-53.481113
4015.625000	-56.438736
4031.250000	-53.617920
4046.875000	-53.471302
4062.500000	-54.837204
4078.125000	-56.263878
4093.750000	-55.297733
4109.375000	-55.525997
4125.000000	-55.013985
4140.625000	-57.530357
4156.250000	-60.305477
4171.875000	-55.449512
4187.500000	-54.256897
4203.125000	-56.060635
4218.750000	-57.694092
4234.375000	-60.358158
4250.000000	-63.592915
4265.625000	-64.291122
4281.250000	-55.747833
4296.875000	-55.178265
4312.500000	-57.722485
4328.125000	-62.338699
4343.750000	-63.347202
4359.375000	-61.418659
4375.000000	-60.550213
4390.625000	-62.449047
4406.250000	-63.656807
4421.875000	-62.833973
4437.500000	-58.991238
4453.125000	-57.095379
4468.750000	-63.446621
4484.375000	-70.387131
4500.000000	-63.685982
4515.625000	-63.380402
4531.250000	-60.968704
4546.875000	-61.442680
4562.500000	-63.710751
4578.125000	-64.090866
4593.750000	-61.711693
4609.375000	-64.247719
4625.000000	-66.138786
4640.625000	-67.976585
4656.250000	-61.152050
4671.875000	-60.102821
4687.500000	-63.660294
4703.125000	-65.420784
4718.750000	-63.732140
4734.375000	-63.811695
4750.000000	-64.355850
4765.625000	-60.061310
4781.250000	-60.412598
4796.875000	-62.769505
4812.500000	-63.897564
4828.125000	-64.590897
4843.750000	-65.380310
4859.375000	-64.476601
4875.000000	-62.379761
4890.625000	-60.776222
4906.250000	-61.354244
4921.875000	-64.505333
4937.500000	-65.066528
4953.125000	-62.521084
4968.750000	-58.725471
4984.375000	-58.089859
5000.000000	-60.016300
5015.625000	-62.408707
5031.250000	-63.477612
5046.875000	-65.278374
5062.500000	-65.712860
5078.125000	-63.124580
5093.750000	-61.567692
5109.375000	-62.145046
5125.000000	-62.034191
5140.625000	-62.587708
5156.250000	-64.572540
5171.875000	-66.874390
5187.500000	-69.354568
5203.125000	-66.696457
5218.750000	-58.797970
5234.375000	-56.638607
5250.000000	-58.659859
5265.625000	-62.981274
5281.250000	-64.064476
5296.875000	-61.792595
5312.500000	-62.898891
5328.125000	-61.643784
5343.750000	-60.474281
5359.375000	-61.179462
5375.000000	-61.655445
5390.625000	-63.170158
5406.250000	-65.817619
5421.875000	-65.573967
5437.500000	-65.347359
5453.125000	-61.982651
5468.750000	-61.533249
5484.375000	-61.701801
5500.000000	-63.305584
5515.625000	-65.408340
5531.250000	-65.531586
5546.875000	-63.403770
5562.500000	-61.615040
5578.125000	-63.398075
5593.750000	-67.061012
5609.375000	-67.060196
5625.000000	-67.295441
5640.625000	-67.361748
5656.250000	-68.181847
5671.875000	-65.538055
5687.500000	-63.614326
5703.125000	-64.104584
5718.750000	-66.095795
5734.375000	-70.619179
5750.000000	-72.319809
5765.625000	-67.042801
5781.250000	-67.774414
5796.875000	-66.832428
5812.500000	-69.064560
5828.125000	-75.513649
5843.750000	-72.861656
5859.375000	-73.689384
5875.000000	-73.618111
5890.625000	-68.984871
5906.250000	-67.562767
5921.875000	-65.267448
5937.500000	-66.322350
5953.125000	-71.800667
5968.750000	-74.091446
5984.375000	-68.434029
6000.000000	-65.848831
6015.625000	-68.940422
6031.250000	-67.120636
6046.875000	-68.082115
6062.500000	-69.528587
6078.125000	-68.636787
6093.750000	-68.692169
6109.375000	-69.430969
6125.000000	-69.733040
6140.625000	-68.793045
6156.250000	-68.132172
6171.875000	-69.176216
6187.500000	-73.120575
6203.125000	-71.174614
6218.750000	-66.923317
6234.375000	-66.605598
6250.000000	-65.826675
6265.625000	-65.749733
6281.250000	-67.148872
6296.875000	-69.343422
6312.500000	-70.207405
6328.125000	-66.338684
6343.750000	-65.420204
6359.375000	-66.452545
6375.000000	-64.691582
6390.625000	-64.713196
6406.250000	-65.398613
6421.875000	-64.778069
6437.500000	-65.253700
6453.125000	-67.321472
6468.750000	-65.244934
6484.375000	-63.778931
6500.000000	-62.699566
6515.625000	-63.261967
6531.250000	-65.067940
6546.875000	-65.442917
6562.500000	-64.301437
6578.125000	-65.703407
6593.750000	-66.361267
6609.375000	-68.758095
6625.000000	-67.785133
6640.625000	-65.382111
6656.250000	-66.985291
6671.875000	-65.483643
6687.500000	-64.457733
6703.125000	-65.300171
6718.750000	-66.970474
6734.375000	-68.430687
6750.000000	-67.559372
6765.625000	-68.833382
6781.250000	-73.281593
6796.875000	-70.811981
6812.500000	-68.492981
6828.125000	-67.940285
6843.750000	-69.052246
6859.375000	-70.402527
6875.000000	-70.644547
6890.625000	-71.262917
6906.250000	-73.436104
6921.875000	-74.392654
6937.500000	-72.497871
6953.125000	-72.489769
6968.750000	-73.012779
6984.375000	-73.998482
7000.000000	-74.812645
7015.625000	-76.730858
7031.250000	-78.403946
7046.875000	-79.471268
7062.500000	-77.042595
7078.125000	-77.283333
7093.750000	-78.900246
7109.375000	-80.412544
7125.000000	-81.060371
7140.625000	-79.940590
7156.250000	-80.886215
7171.875000	-82.692619
7187.500000	-85.076035
7203.125000	-85.934364
7218.750000	-85.828110
7234.375000	-88.702385
7250.000000	-88.330925
7265.625000	-89.445580
7281.250000	-90.986649
7296.875000	-88.089676
7312.500000	-86.823700
7328.125000	-88.052711
7343.750000	-89.575439
7359.375000	-92.636299
7375.000000	-94.403069
7390.625000	-94.365868
7406.250000	-93.961128
7421.875000	-95.659767
7437.500000	-94.923431
7453.125000	-95.064232
7468.750000	-95.445587
7484.375000	-95.705582
7500.000000	-96.076599
7515.625000	-96.482338
7531.250000	-95.988281
7546.875000	-95.230484
7562.500000	-95.474899
7578.125000	-96.156647
7593.750000	-96.245972
7609.375000	-96.149002
7625.000000	-96.324463
7640.625000	-96.216530
7656.250000	-96.380211
7671.875000	-96.390808
7687.500000	-96.307228
7703.125000	-96.168037
7718.750000	-96.086670
7734.375000	-96.263199
7750.000000	-96.235741
7765.625000	-96.293678
7781.250000	-96.144516
7796.875000	-96.301025
7812.500000	-96.306808
7828.125000	-96.259140
7843.750000	-96.154312
7859.375000	-96.225739
7875.000000	-96.316216
7890.625000	-96.297295
7906.250000	-96.308739
7921.875000	-96.124382
7937.500000	-96.081879
7953.125000	-96.179535
7968.750000	-96.244621
7984.375000	-96.300484
