Frequency (Hz)	Level (dB)
3718.750000	-41.542549
3734.375000	-44.040039
3750.000000	-38.307686
3765.625000	-36.800697
3781.250000	-38.110012
3796.875000	-40.731396
3812.500000	-43.580437
3828.125000	-40.427483
3843.750000	-37.728008
3859.375000	-37.846310
3875.000000	-39.189045
3890.625000	-38.228451
3906.250000	-41.163696
3921.875000	-39.346134
3937.500000	-37.403553
3953.125000	-37.722942
3968.750000	-40.040989
3984.375000	-37.224949
4000.000000	-35.899105
4015.625000	-37.941525
4031.250000	-38.114391
4046.875000	-39.193317
4062.500000	-39.120033
4078.125000	-36.766674
4093.750000	-35.654209
4109.375000	-36.047012
4125.000000	-37.917725
4140.625000	-39.750095
4156.250000	-40.118923
4171.875000	-37.679932
4187.500000	-37.737751
4203.125000	-37.520439
4218.750000	-37.550835
4234.375000	-39.333290
4250.000000	-42.134609
4265.625000	-42.978271
4281.250000	-40.569401
4296.875000	-36.787910
4312.500000	-36.820274
4328.125000	-39.459137
4343.750000	-42.386211
4359.375000	-38.944572
4375.000000	-38.257553
4390.625000	-38.412998
4406.250000	-38.968029
4421.875000	-38.972942
4437.500000	-40.281204
4453.125000	-39.602299
4468.750000	-37.030678
4484.375000	-37.476128
4500.000000	-39.460354
4515.625000	-40.294998
4531.250000	-40.013237
4546.875000	-37.635860
4562.500000	-36.965717
4578.125000	-39.679855
4593.750000	-41.111839
4609.375000	-41.486217
4625.000000	-41.425446
4640.625000	-41.654182
4656.250000	-42.438370
4671.875000	-42.759140
4687.500000	-42.584766
4703.125000	-42.133095
4718.750000	-41.783737
4734.375000	-44.675846
4750.000000	-45.053143
4765.625000	-43.789204
4781.250000	-42.489227
4796.875000	-43.781479
4812.500000	-45.579708
4828.125000	-46.165306
4843.750000	-45.082874
4859.375000	-48.253540
4875.000000	-47.346790
4890.625000	-45.409725
4906.250000	-45.490845
4921.875000	-47.187550
4937.500000	-47.995434
4953.125000	-48.076084
4968.750000	-46.498051
4984.375000	-44.220757
5000.000000	-45.423962
5015.625000	-45.272125
5031.250000	-46.431801
5046.875000	-49.506935
5062.500000	-46.220387
5078.125000	-42.814705
5093.750000	-43.399818
5109.375000	-45.333527
5125.000000	-48.219368
5140.625000	-49.500908
5156.250000	-48.607655
5171.875000	-46.327446
5187.500000	-41.875786
5203.125000	-45.700092
5218.750000	-47.206360
5234.375000	-41.720470
5250.000000	-41.840141
5265.625000	-44.339745
5281.250000	-44.803432
5296.875000	-48.153645
5312.500000	-46.815376
5328.125000	-41.020794
5343.750000	-39.303905
5359.375000	-41.143661
5375.000000	-44.151295
5390.625000	-45.011574
5406.250000	-43.188675
5421.875000	-40.722427
5437.500000	-44.473034
5453.125000	-42.244766
5468.750000	-41.391567
5484.375000	-37.686253
5500.000000	-39.230942
5515.625000	-43.164490
5531.250000	-44.983509
5546.875000	-41.394180
5562.500000	-40.857399
5578.125000	-42.808743
5593.750000	-41.463139
5609.375000	-41.563797
5625.000000	-41.876617
5640.625000	-43.029495
5656.250000	-42.675674
5671.875000	-44.364002
5687.500000	-41.127850
5703.125000	-41.368362
5718.750000	-39.553158
5734.375000	-39.687450
5750.000000	-42.251793
5765.625000	-44.430088
5781.250000	-43.631836
5796.875000	-41.778904
5812.500000	-41.098431
5828.125000	-42.629902
5843.750000	-43.455280
5859.375000	-41.840866
5875.000000	-41.981403
5890.625000	-42.255894
5906.250000	-44.796539
5921.875000	-46.541302
5937.500000	-41.689705
5953.125000	-40.233177
5968.750000	-42.158688
5984.375000	-45.509502
6000.000000	-45.414566
6015.625000	-43.000458
