filename,distance.m,wpREVERSED,wpRAW,trial,tone,trial.no,THRESH,Sep,Start.time,Start.azimuth,End.time,End.azimuth,detection,True.angle
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,10,23.5,5,26,25,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,11,23.7,-140,25.8,-140,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,12,24.1,120,26.4,120,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,13,25.5,165,27.6,165,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,14,27.3,125,29.4,125,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,15,29.5,120,36.6,115,y,
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,16,35.5,110,41.4,170,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,17,38.1,-25,40.4,-25,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,18,39.5,-25,42.6,-40,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,19,42.1,-25,45.2,-50,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,20,43.3,-25,46.2,-20,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,21,44.5,165,51.6,165,y,
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,22,50.3,-60,52.4,-60,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,23,50.5,165,55.2,-145,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,24,52.5,40,54.6,40,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,25,55.1,-55,58.8,-55,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,26,59.5,-150,66.6,-150,y,
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,27,64.7,-55,67.2,-50,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,28,65.3,-25,67.6,-25,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,29,65.7,-160,68,-160,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,30,66.1,-55,68.2,-55,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,31,66.5,-25,68.6,-25,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,32,66.7,-120,69,-130,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,33,67.1,-110,71,-70,n,na
localized_1m_wN_Pink_t01.wav,1,y,n,SilwoodField,pink,1,26.5,34,67.9,-60,70,-60,n,na
