filename,filename.short,distance.m,WP?,Test.tone,Trial,Threshold,True.azimuth,localised?,Start.time,Predicted.azimuth,Aliaized.Azimuth,error
localized_1m_wY_Pink_t02.wav,localized_1m_wY_Pink_t02.wav,1,y,pink,field,26.5,30,y,15.3,30,na,0
localized_1m_wY_Pink_t02.wav,localized_1m_wY_Pink_t02.wav,1,y,pink,field,26.5,120,y,30.3,120,na,0
localized_1m_wY_Pink_t02.wav,localized_1m_wY_Pink_t02.wav,1,y,pink,field,26.5,165,y,46.1,165,na,0
localized_1m_wY_Pink_t02.wav,localized_1m_wY_Pink_t02.wav,1,y,pink,field,26.5,-150,y,60.3,-150,na,0
localized_1m_wY_Pink_t02.wav,localized_1m_wY_Pink_t02.wav,1,y,pink,field,26.5,-60,y,75.3,-60,na,0
localized_2m_wN_Bird_t01.wav,localized_2m_wN_Bird_t01.wav,2,n,wren,field,26.5,30,s,3.3,25,na,-5
localized_2m_wN_Bird_t01.wav,localized_2m_wN_Bird_t01.wav,2,n,wren,field,26.5,30,y,14.3,30,na,0
localized_2m_wN_Bird_t01.wav,localized_2m_wN_Bird_t01.wav,2,n,wren,field,26.5,120,y,27.5,120,na,0
localized_2m_wN_Bird_t01.wav,localized_2m_wN_Bird_t01.wav,2,n,wren,field,26.5,165,y,42.5,165,na,0
localized_2m_wN_Bird_t01.wav,localized_2m_wN_Bird_t01.wav,2,n,wren,field,26.5,-150,y,57.3,-155,na,-5
localized_2m_wN_Bird_t01.wav,localized_2m_wN_Bird_t01.wav,2,n,wren,field,26.5,-60,y,72.3,-60,na,0
localized_2m_wN_Bird_t02.wav,localized_2m_wN_Bird_t02.wav,2,n,wren,field,26.5,30,s,4.5,25,na,-5
localized_2m_wN_Bird_t02.wav,localized_2m_wN_Bird_t02.wav,2,n,wren,field,26.5,30,y,15.7,30,na,0
localized_2m_wN_Bird_t02.wav,localized_2m_wN_Bird_t02.wav,2,n,wren,field,26.5,120,y,28.7,120,na,0
localized_2m_wN_Bird_t02.wav,localized_2m_wN_Bird_t02.wav,2,n,wren,field,26.5,165,y,43.3,160,na,-5
localized_2m_wN_Bird_t02.wav,localized_2m_wN_Bird_t02.wav,2,n,wren,field,26.5,-150,y,58.3,-150,na,0
localized_2m_wN_Bird_t02.wav,localized_2m_wN_Bird_t02.wav,2,n,wren,field,26.5,-60,y,73.3,-60,na,0
localized_2m_wN_Pink_t01.wav,localized_2m_wN_Pink_t01.wav,2,n,pink,field,26.5,30,s,3.1,30,na,0
localized_2m_wN_Pink_t01.wav,localized_2m_wN_Pink_t01.wav,2,n,pink,field,26.5,30,y,14.3,25,na,-5
localized_2m_wN_Pink_t01.wav,localized_2m_wN_Pink_t01.wav,2,n,pink,field,26.5,120,y,28.7,120,na,0
localized_2m_wN_Pink_t01.wav,localized_2m_wN_Pink_t01.wav,2,n,pink,field,26.5,165,y,44.3,165,na,0
localized_2m_wN_Pink_t01.wav,localized_2m_wN_Pink_t01.wav,2,n,pink,field,26.5,-150,y,59.3,-150,na,0
localized_2m_wN_Pink_t01.wav,localized_2m_wN_Pink_t01.wav,2,n,pink,field,26.5,-60,y,74.3,-60,na,0
localized_2m_wN_Pink_t02.wav,localized_2m_wN_Pink_t02.wav,2,n,pink,field,26.5,30,s,4.9,30,na,0
localized_2m_wN_Pink_t02.wav,localized_2m_wN_Pink_t02.wav,2,n,pink,field,26.5,30,y,14.7,30,na,0
localized_2m_wN_Pink_t02.wav,localized_2m_wN_Pink_t02.wav,2,n,pink,field,26.5,120,y,29.7,120,na,0
localized_2m_wN_Pink_t02.wav,localized_2m_wN_Pink_t02.wav,2,n,pink,field,26.5,165,y,44.7,165,na,0
localized_2m_wN_Pink_t02.wav,localized_2m_wN_Pink_t02.wav,2,n,pink,field,26.5,-150,y,59.7,-150,na,0
localized_2m_wN_Pink_t02.wav,localized_2m_wN_Pink_t02.wav,2,n,pink,field,26.5,-60,y,74.7,-60,na,0
localized_4m_wN_Bird_t01.wav,localized_4m_wN_Bird_t01.wav,4,n,wren,field,26.5,30,s,4.9,25,na,-5
localized_4m_wN_Bird_t01.wav,localized_4m_wN_Bird_t01.wav,4,n,wren,field,26.5,30,y,14.9,30,na,0
localized_4m_wN_Bird_t01.wav,localized_4m_wN_Bird_t01.wav,4,n,wren,field,26.5,120,y,30.1,125,na,5
localized_4m_wN_Bird_t01.wav,localized_4m_wN_Bird_t01.wav,4,n,wren,field,26.5,165,y-d,44.9,165,-45,0
localized_4m_wN_Bird_t01.wav,localized_4m_wN_Bird_t01.wav,4,n,wren,field,26.5,-150,y-d,60.7,-150,30,0
localized_4m_wN_Bird_t01.wav,localized_4m_wN_Bird_t01.wav,4,n,wren,field,26.5,-60,y,74.3,-55,na,5
localized_4m_wN_Bird_t02.wav,localized_4m_wN_Bird_t02.wav,4,n,wren,field,26.5,30,s,4.5,35,na,5
