filename,recorder,distance.m,wpRAW,trial,tone,trial.no,THRESH,Sep,Start.time,Start.azimuth,End.time,End.azimuth,detection,True.Angle,difference
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,14,22.1,-135,24.6,-120,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,15,22.3,20,24.4,20,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,16,22.9,-50,25,-50,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,17,27.1,-120,29.2,-120,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,18,27.3,115,32.4,115,y,120,-5
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,19,29.7,20,31.8,20,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,20,31.3,115,35.8,155,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,21,31.7,10,33.8,10,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,22,33.1,-105,35.2,-105,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,23,33.9,-5,36.8,-5,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,24,35.1,120,37.2,120,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,25,41.9,160,47.4,155,y,165,-5
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,26,46.1,-35,48.4,-35,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,27,46.5,155,48.8,160,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,28,46.9,-60,49,-60,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,29,47.1,-175,50.6,-145,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,30,50.9,-45,53,-45,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,31,51.9,-55,54.8,-50,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,32,53.5,-50,57.6,-50,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,33,56.9,-155,62,-155,y,-150,-5
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,34,60.7,-145,63.2,-160,n,na,na
