Time	Sep	R	Theta	Phi
8580	0	1.0000527986061536	0.0	2.18165336137144
8600	0	1.0000527986061536	0.0	2.18165336137144
8620	0	1.0000527986061536	0.0	2.18165336137144
8640	0	1.0000527986061536	0.0	2.18165336137144
8660	0	1.0000527986061536	0.0	2.18165336137144
8680	0	1.0000527986061536	0.0	2.18165336137144
8700	0	1.0000527986061536	0.0	2.18165336137144
8800	1	1.0000527986061536	0.0	2.18165336137144
8820	1	1.0000527986061536	0.0	2.18165336137144
8840	1	1.0000527986061536	0.0	2.18165336137144
8860	1	1.0000527986061536	0.0	2.18165336137144
10240	2	0.9999839998719979	0.0	-0.17448682501833415
10260	2	0.9999839998719979	0.0	-0.17448682501833415
10280	2	0.9999839998719979	0.0	-0.17448682501833415
10300	2	0.9999839998719979	0.0	-0.17448682501833415
12560	3	1.0000000449999988	0.0	0.34904439802547943
12580	3	1.0000000449999988	0.0	0.34904439802547943
12600	3	1.0000000449999988	0.0	0.34904439802547943
12620	3	1.0000000449999988	0.0	0.34904439802547943
12640	3	1.0000000449999988	0.0	0.34904439802547943
