Time	Sep	R	Theta	Phi
220	0	1.0000527986061536	0.0	-2.5307356190132495
220	1	0.9999852248908481	0.0	0.4363190529887563
240	0	1.0000527986061536	0.0	-2.5307356190132495
240	1	0.9999852248908481	0.0	0.4363190529887563
260	0	1.0000527986061536	0.0	-2.5307356190132495
260	1	0.9999852248908481	0.0	0.4363190529887563
280	0	1.0000527986061536	0.0	-2.5307356190132495
280	1	0.9999852248908481	0.0	0.4363190529887563
300	0	0.9999779997579946	0.0	-2.617981175819824
300	1	0.9999852248908481	0.0	0.4363190529887563
320	0	0.9999779997579946	0.0	-2.617981175819824
320	1	0.9999852248908481	0.0	0.4363190529887563
340	0	0.9999779997579946	0.0	-2.617981175819824
360	0	0.9999779997579946	0.0	-2.617981175819824
880	2	0.999973919659908	0.0	-2.4434228927824444
900	2	1.0000527986061536	0.0	-2.5307356190132495
920	2	0.9999779997579946	0.0	-2.617981175819824
940	2	0.9999779997579946	0.0	-2.617981175819824
960	2	0.9999779997579946	0.0	-2.617981175819824
960	3	0.9999779997579946	0.0	0.5236114777699694
980	2	0.9999779997579946	0.0	-2.617981175819824
980	3	0.9999779997579946	0.0	0.5236114777699694
1000	2	0.9999779997579946	0.0	-2.617981175819824
1000	3	0.9999779997579946	0.0	0.5236114777699694
1020	2	0.9999779997579946	0.0	-2.617981175819824
1020	3	0.9999779997579946	0.0	0.5236114777699694
1040	2	0.9999779997579946	0.0	-2.617981175819824
1040	3	0.9999852248908481	0.0	0.4363190529887563
1060	2	1.0000527986061536	0.0	-2.5307356190132495
1060	3	0.9999852248908481	0.0	0.4363190529887563
1080	2	0.9999779997579946	0.0	-2.617981175819824
1080	3	0.9999779997579946	0.0	0.5236114777699694
1100	2	0.9999779997579946	0.0	-2.617981175819824
1100	3	0.9999779997579946	0.0	0.5236114777699694
1120	2	0.9999779997579946	0.0	-2.617981175819824
1120	3	0.9999779997579946	0.0	0.5236114777699694
1140	2	1.0000527986061536	0.0	-2.5307356190132495
1140	3	0.9999852248908481	0.0	0.4363190529887563
1160	2	1.0000527986061536	0.0	-2.5307356190132495
1160	3	0.9999852248908481	0.0	0.4363190529887563
1180	2	1.0000527986061536	0.0	-2.5307356190132495
1180	3	0.9999852248908481	0.0	0.4363190529887563
1200	2	1.0000527986061536	0.0	-2.5307356190132495
1200	3	0.9999852248908481	0.0	0.4363190529887563
1220	2	1.0000527986061536	0.0	-2.5307356190132495
1240	2	1.0000527986061536	0.0	-2.5307356190132495
2320	4	1.0000527986061536	0.0	-2.5307356190132495
2340	4	0.9999779997579946	0.0	-2.617981175819824
2340	5	0.9999779997579946	0.0	0.5236114777699694
2360	4	0.9999779997579946	0.0	-2.617981175819824
2360	5	0.9999779997579946	0.0	0.5236114777699694
2380	4	1.0000527986061536	0.0	-2.5307356190132495
2380	5	0.9999852248908481	0.0	0.4363190529887563
2400	4	0.9999779997579946	0.0	-2.617981175819824
2400	5	0.9999779997579946	0.0	0.5236114777699694
2420	4	0.9999779997579946	0.0	-2.617981175819824
2420	5	0.9999779997579946	0.0	0.5236114777699694
2440	4	0.9999779997579946	0.0	-2.617981175819824
2440	5	0.9999779997579946	0.0	0.5236114777699694
2460	4	0.9999779997579946	0.0	-2.617981175819824
2460	5	0.9999779997579946	0.0	0.5236114777699694
2480	4	0.9999779997579946	0.0	-2.617981175819824
2480	5	0.9999779997579946	0.0	0.5236114777699694
2500	4	0.9999779997579946	0.0	-2.617981175819824
2500	5	0.9999779997579946	0.0	0.5236114777699694
2520	4	0.9999779997579946	0.0	-2.617981175819824
2520	5	0.9999779997579946	0.0	0.5236114777699694
2540	4	0.9999779997579946	0.0	-2.617981175819824
2540	5	0.9999779997579946	0.0	0.5236114777699694
2560	4	0.9999779997579946	0.0	-2.617981175819824
2560	5	0.9999779997579946	0.0	0.5236114777699694
2580	4	0.9999779997579946	0.0	-2.617981175819824
2580	5	0.9999779997579946	0.0	0.5236114777699694
2600	4	0.9999779997579946	0.0	-2.617981175819824
2600	5	0.9999779997579946	0.0	0.5236114777699694
2620	4	0.9999779997579946	0.0	-2.617981175819824
2620	5	0.9999779997579946	0.0	0.5236114777699694
